fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3257.0,200006.0,15.5014,13.4953,7.8358,6.1428,4.4578,-3.8768,-4.3902,16.6,12.24
3257.0,200007.0,-3.5974,-7.0436,0.1569,0.7195,-5.6896,3.2367,3.4024,-0.11,6.5
3257.0,200008.0,15.2494,7.7102,4.6923,4.7951,10.9445,7.3994,7.1347,5.71,0.46
3257.0,200009.0,-0.6227,-8.8858,-1.8263,-1.8723,-6.1229,0.1208,-0.6104,2.18,2.49
3257.0,200010.0,-8.49,-10.8487,-3.9436,-5.5856,-5.3606,0.6695,0.6243,-4.63,-4.78
3257.0,200011.0,-22.6361,-21.3223,-7.8815,-6.9662,-16.4442,-1.4918,-1.2806,-2.41,-14.61
3257.0,200012.0,5.6394,-8.4715,0.1656,-0.6089,2.8232,10.3134,13.954,6.7,-6.6
3257.0,200101.0,3.4889,43.9889,21.5762,20.102,15.3216,2.1535,4.5507,-25.06,16.21
3257.0,200102.0,-19.5776,-14.684,-3.2647,-0.6369,-16.1367,-0.7728,1.2034,12.51,12.22
3257.0,200103.0,-15.6061,-11.7902,-3.0353,-2.9495,-12.2313,-3.3908,-2.4861,8.35,-7.65
3257.0,200104.0,16.8163,11.4306,4.5794,3.0459,14.8291,7.3559,5.9413,-7.97,9.87
3257.0,200105.0,-2.3566,7.5188,7.3479,9.0744,2.3658,3.0852,3.0346,2.12,3.63
3257.0,200106.0,-1.2592,1.6936,3.5947,1.8391,-0.1552,-1.5537,-0.9601,0.35,0.5
3257.0,200107.0,-8.1828,-8.01,-3.3206,-0.7438,-4.2037,-0.7335,-0.8442,5.47,1.28
3257.0,200108.0,-10.3009,-7.4087,-3.0609,-1.962,-7.0658,-2.7453,-5.5504,5.54,-3.92
3257.0,200109.0,-20.9677,-17.818,-12.363,-11.4833,-14.3973,-11.6815,-14.9233,11.53,-4.91
3257.0,200110.0,10.8571,14.2901,7.6909,5.5391,10.5328,4.3531,3.0095,-8.41,14.8
3257.0,200111.0,14.0795,9.9647,7.8462,6.9859,11.1516,7.9855,11.2047,-8.58,-3.14
3257.0,200112.0,3.426,8.9428,6.874,5.9272,3.7679,5.4122,4.1906,-0.02,1.72
3257.0,200201.0,-2.0,-3.573,2.2058,6.4108,-2.6502,-0.6548,-0.6218,3.69,1.54
3257.0,200202.0,-9.5026,-9.3394,-3.0341,-2.1507,-4.507,-0.1973,-2.0332,6.76,-0.09
3257.0,200203.0,8.4567,8.3422,8.2428,8.6284,7.7757,7.0739,7.5482,-1.67,2.83
3257.0,200204.0,-6.9526,-6.5257,1.2483,4.1028,-5.1407,-1.8905,-3.6216,7.96,2.06
3257.0,200205.0,-4.6089,-8.366,-2.413,0.5951,-3.1928,-1.7767,-2.5599,2.97,-2.68
3257.0,200206.0,-11.5666,-11.1503,-5.4064,-4.5569,-10.8327,-6.7227,-9.2308,6.15,-3.37
3257.0,200207.0,-9.9338,-14.9955,-13.0708,-10.6101,-8.7553,-9.3483,-13.9265,3.34,1.5
3257.0,200208.0,-2.114,-0.3433,0.5034,0.1741,-0.1817,1.5333,3.8511,1.77,1.38
3257.0,200209.0,-7.9812,-10.3306,-8.1177,-7.707,-9.1383,-10.2448,-13.4468,9.09,-1.85
3257.0,200210.0,10.3061,8.1278,4.7127,2.7193,7.7286,4.7328,1.6834,-5.3,7.52
3257.0,200211.0,7.5856,17.836,13.0131,11.3655,8.4674,8.747,11.3946,-16.17,0.21
3257.0,200212.0,-7.4807,-9.377,-4.2131,-3.4785,-6.0359,-3.4005,-3.3266,9.65,10.58
3257.0,200301.0,-0.5576,0.7713,-0.9994,1.7603,-2.1546,-2.5146,-4.1786,1.62,0.2
3257.0,200302.0,-1.4019,-4.2469,-2.3127,-1.7815,-1.8914,-2.3642,-4.6786,1.25,-0.78
3257.0,200303.0,1.1374,2.3612,0.2923,0.8288,1.4976,0.7773,-0.6673,1.61,-0.22
3257.0,200304.0,7.0291,13.036,9.8681,8.659,8.6042,9.4849,12.2649,-9.46,3.09
3257.0,200305.0,7.8809,20.8667,13.9537,12.6666,9.241,9.2564,9.6454,-10.77,-1.44
3257.0,200306.0,1.5422,6.5125,4.3723,6.4423,1.3868,0.5022,2.1254,-1.06,-0.06
3257.0,200307.0,3.5971,8.7107,7.613,8.6201,3.6666,2.6144,3.1987,-0.31,2.47
3257.0,200308.0,4.9383,4.5268,4.6228,6.2789,4.1622,3.6024,6.7925,-0.56,-1.45
3257.0,200309.0,-3.6029,2.3582,0.7426,5.4146,-1.8693,-0.9557,-1.1508,-0.19,4.52
