fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2724.0,201401.0,-3.7112,3.1688,-1.7031,0.0832,-2.6291,-2.1726,-4.2702,1.72,0.26
2724.0,201402.0,5.1156,4.1841,4.1468,4.2589,5.9498,5.1883,4.4915,2.08,-0.28
2724.0,201403.0,-0.4667,-2.2949,0.9,1.3472,-1.5496,0.9836,3.884,-3.3,2.65
2724.0,201404.0,-0.4689,-6.8028,-4.2106,-3.6091,-1.7946,0.1248,-0.1975,-3.85,-2.12
2724.0,201405.0,2.2207,-1.3404,-0.1702,-0.5012,2.0158,1.9663,1.0761,1.15,0.51
2724.0,201406.0,2.1066,6.385,4.1324,3.7489,3.6299,3.6471,4.1815,0.68,-0.65
2724.0,201407.0,-1.8053,-6.7747,-5.8726,-3.726,-3.3274,-3.1668,-3.9457,-0.24,2.73
2724.0,201408.0,2.9547,4.3266,4.1196,3.4057,5.8073,4.0766,4.5992,0.82,1.53
2724.0,201409.0,-3.2526,-5.8058,-5.3837,-4.6317,-2.9052,-3.8608,-4.4192,0.53,-0.17
2724.0,201410.0,1.0547,4.4862,4.4758,2.1599,3.0324,2.4214,1.5339,0.0,-2.72
2724.0,201411.0,1.6308,0.0513,-0.796,-1.278,2.6369,1.7011,-0.7046,1.05,-3.43
2724.0,201412.0,-1.6673,2.2819,3.6142,1.9608,-0.0193,-0.047,0.7699,1.06,-1.06
2724.0,201501.0,-2.1337,-2.746,-4.3387,-3.8753,-1.9822,-3.0606,-4.1574,3.87,-0.47
2724.0,201502.0,5.814,7.2841,7.0884,4.9184,7.7542,7.496,5.8195,-2.84,3.61
2724.0,201503.0,-1.0302,0.1998,0.2261,0.4395,-0.0826,-0.3752,-1.1619,2.98,-0.16
2724.0,201504.0,2.0125,-0.011,-0.8572,1.0378,-0.4237,0.7573,1.6668,-7.37,4.11
2724.0,201505.0,0.4082,1.3103,1.5692,-0.5727,1.4721,1.4979,-0.3604,6.01,2.64
2724.0,201506.0,-1.9648,1.7725,-0.0268,-0.0875,-1.4133,-2.1367,-2.5019,3.04,-3.51
2724.0,201507.0,0.622,-2.1415,-3.9329,-5.2759,2.1719,-0.9758,-1.7963,10.28,-5.2
2724.0,201508.0,-6.7995,-7.4915,-4.0004,-1.5925,-6.5035,-4.6158,-5.2071,-2.07,1.64
2724.0,201509.0,-3.7583,-8.1679,-5.4658,-4.8122,-4.1098,-4.6727,-4.9421,5.32,-3.34
2724.0,201510.0,7.9632,4.8166,5.4553,4.3989,6.2262,7.2314,5.3212,-3.97,0.88
2724.0,201511.0,-0.2128,5.2917,2.0175,2.0833,0.9503,-0.4823,1.5197,2.28,0.02
2724.0,201512.0,-2.4569,-4.8879,-5.0326,-5.1763,-2.2015,-4.226,-5.9517,3.44,1.06
2724.0,201601.0,-6.6852,-12.6937,-9.6057,-7.929,-8.3971,-5.9705,-8.565,1.37,-2.78
2724.0,201602.0,-0.995,-0.778,1.378,-0.5906,1.3759,1.8052,-0.8554,-4.09,-0.74
2724.0,201603.0,7.0352,7.0497,8.2533,8.2204,6.778,9.1568,13.4578,-5.14,1.52
