fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2724,200901,-8.8561,-1.0813,-3.4929,-5.7975,-4.8527,-6.7014,-13.5043,-1.83,0.54
2724,200902,-9.7166,-10.9575,-11.1441,-13.5068,-7.5364,-13.2729,-18.2081,4.18,-6.79
2724,200903,8.2212,14.2638,12.9001,12.5523,10.3267,9.8386,13.4433,-11.38,3.44
2724,200904,10.7648,21.8018,20.6982,23.4516,17.2873,20.9226,26.4367,-34.39,-6.87
2724,200905,7.7987,8.7174,10.7958,10.0016,6.5674,7.7253,6.5029,-12.44,-2.88
2724,200906,-0.7001,7.6931,3.8677,2.6617,0.4913,-1.4216,-0.2657,5.29,4.91
2724,200907,8.4606,7.4411,8.5555,9.7911,7.2515,9.7239,10.6151,-5.36,4.39
2724,200908,3.3586,3.2288,4.3253,10.2798,2.19,3.516,9.9007,-8.84,-2.13
2724,200909,4.5073,7.5842,6.5938,7.561,5.5304,5.8667,6.6815,-4.93,1.25
2724,200910,-2.1063,-7.7268,-6.1563,-7.3195,-3.1238,-3.8532,-6.3809,2.65,2.21
2724,200911,5.3279,0.64,1.174,1.0463,4.9213,4.5054,5.3559,0.29,0.25
2724,200912,2.5624,7.6863,7.2139,6.3473,4.9108,5.7842,5.6917,2.91,1.61
2724,201001,-4.4104,-2.928,-2.0949,3.1156,-3.6486,-3.2048,-2.1702,-5.38,3.65
2724,201002,2.3069,2.8806,3.5898,4.083,4.0639,4.5065,4.3358,3.6,1.8
2724,201003,6.3725,6.5113,7.7965,9.0725,6.8339,7.16,8.1189,3.66,0.77
2724,201004,1.0138,6.0926,6.7287,12.0652,2.816,3.3767,4.6326,3.22,-1.77
2724,201005,-8.7591,-7.447,-7.3047,-9.4502,-6.6319,-7.8925,-7.5703,-0.13,0.58
2724,201006,-4.6,-6.7167,-7.2241,-9.6505,-4.6627,-6.4131,-8.8706,-3,-4.84
2724,201007,8.2809,5.869,5.9763,4.6438,6.7458,7.6534,6.8046,1.88,4.02
2724,201008,-4.453,-6.8896,-7.5455,-7.4044,-4.211,-5.3791,-5.3252,-0.19,1.04
2724,201009,10.0304,12.6435,11.9959,8.6621,11.8069,10.9906,9.0037,1.35,3.2
2724,201010,3.9595,5.2679,5.1516,3.4586,3.7771,4.0427,1.6912,1.64,-1.34
2724,201011,-0.5314,1.8986,3.4612,1.3891,3.2153,1.8975,-0.4122,2.53,-0.95
2724,201012,6.9568,9.2016,8.5102,8.4832,6.0694,7.6353,9.08,-3.19,2.37
2724,201101,1.7812,-0.2322,0.4636,4.0934,2.0727,2.7388,1.7221,-0.32,-0.02
2724,201102,3.3333,3.5694,4.7778,4.1132,4.2427,4.2768,3.7816,2.03,-1.01
2724,201103,0.1613,1.8932,1.6299,-0.1846,2.0025,2.1339,0.5566,3.51,-0.79
2724,201104,3.6232,1.8325,1.1678,0.1692,3.5928,3.1937,2.0887,0.07,-1
2724,201105,-1.7094,-1.9658,-2.315,-2.5215,-0.3844,-1.4969,-0.7647,-0.56,-1.25
2724,201106,-1.0277,-4.3312,-1.738,-2.3127,-1.6244,-1.9959,-2.102,1.78,-1.03
2724,201107,-2.2364,-3.799,-2.3131,-0.9653,-3.3936,-3.2021,-4.339,0.08,-1.13
2724,201108,-7.598,-10.2853,-10.078,-9.5036,-6.7194,-7.5573,-7.8838,-0.31,-1.35
2724,201109,-9.6375,-12.1905,-11.2599,-9.5193,-9.4598,-11.0493,-9.4613,-2.55,-9.71
2724,201110,11.9374,13.7561,13.4827,8.4397,14.2203,15.5033,13.198,-1.42,12.35
