fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
2708,200401,1.5419,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
2708,200402,1.4461,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
2708,200404,-1.9957,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
2708,200405,0.8,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
2708,200406,1.8759,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
2708,200407,-2.4079,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
2708,200408,0.6531,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
2708,200409,1.8745,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
2708,200410,1.4154,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
2708,200411,4.0436,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
2708,200412,3.0432,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
2708,200501,-1.996,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
2708,200502,1.6972,0.0825,0.9714,1.5728,1.6583,3.0695,2.781,3.16,-2.35
2708,200503,-1.5354,-5.4096,-2.3046,-1.6161,-1.3525,-1.1136,-0.6693,0.54,0.13
2708,200504,-1.0169,-7.012,-5.8827,-5.9099,-3.6351,-3.0782,-3.6685,-0.85,-1.85
2708,200505,2.8767,6.7482,5.0035,3.4769,5.5289,4.7535,5.4207,0.43,3.16
2708,200506,0.7989,2.9887,3.618,4.0485,0.6894,3.0394,3.0555,2.05,0.04
2708,200507,2.7741,7.6016,7.1404,6.3426,5.2043,5.1982,4.8475,-0.01,-0.11
2708,200508,0.3213,-2.0943,-0.9503,-0.3427,-1.4482,-0.5695,-0.7949,2.27,-1.44
2708,200509,1.089,0.7411,0.5148,0.8575,0.0983,1.3838,1.2918,3.46,-3.73
2708,200510,-1.5843,-4.3223,-2.7448,-2.6828,-1.5828,-2.7264,-3.1419,-1.28,1.58
2708,200511,3.0908,3.4987,3.7404,3.2183,4.998,4.3571,3.2227,0.25,0.09
2708,200512,1.474,0.8007,0.1512,1.3211,0.494,1.1842,1.1884,0.77,1.95
2708,200601,2.9126,10.0755,8.6725,7.3746,3.7446,4.5291,4.8465,2.68,-1.1
2708,200602,-0.3145,0.8663,0.3361,0.6974,0.4074,0.2545,-1.0817,-1.84,3.35
2708,200603,1.0095,4.2264,4.7742,5.2868,2.519,1.902,1.5237,1.26,0.03
2708,200604,1.4366,-0.7065,0.4994,1.8149,0.2913,0.9501,2.6648,0.61,-0.36
2708,200605,-3.2635,-7.9298,-4.0883,-3.4381,-4.0181,-2.5191,-2.14,-3.65,-0.03
2708,200606,0.0637,-1.381,-0.7962,-0.0727,-0.4778,-0.7072,0.3026,1.49,-0.61
2708,200607,-0.0636,-5.5367,-2.9042,-2.4477,-3.3359,-1.9166,-1.207,-2.21,0.24
2708,200608,1.9096,3.048,2.1068,1.673,2.6322,1.7365,1.8825,-3.47,1.75
2708,200609,1.624,-0.3241,0.9682,1.3747,2.3291,1.6582,1.488,-0.94,0.73
2708,200610,2.7044,6.058,5.4885,4.1566,3.8499,3.9121,3.7653,-0.24,-0.24
2708,200611,1.556,2.9975,2.0952,2.5843,3.3352,3.1199,3.2205,-1.01,-0.97
2708,200612,1.0791,0.2429,1.3376,2.7032,-0.5203,0.8296,1.8883,0.84,2.38
2708,200701,1.1838,2.7413,1.0795,2.8028,3.277,2.9886,2.0238,0.21,1.06
2708,200702,-0.6158,0.3866,-0.2706,0.6739,-0.3279,0.496,0.3281,-1.35,0.25
2708,200703,0.8055,0.5509,0.367,-0.3604,0.9033,1.2564,1.3292,2.49,-2.04
2708,200704,3.0731,3.1558,1.001,1.4512,4.2856,4.0503,3.4694,-0.16,-0.3
2708,200705,2.5045,2.105,2.5936,1.3859,4.1839,4.0567,3.5893,-0.26,-1.13
2708,200706,-0.8726,-0.4355,-0.9301,-0.0795,-1.4113,-1.7168,-1.9243,0.38,-0.84
2708,200707,-1.9366,-4.978,-5.3544,-5.2254,-2.4321,-4.29,-6.6082,2.8,-3.38
2708,200708,0.778,-0.7127,0.2377,-2.7707,1.0482,0.137,-2.2502,0.11,-2.64
2708,200709,3.5629,2.5024,0.8752,0.0161,3.5944,2.5882,2.1457,4.59,0.3
2708,200710,2.5229,2.8415,0.4154,-0.7853,2.4906,2.3195,-0.0124,4.96,-3.89
2708,200711,-3.0201,-9.342,-8.4987,-8.9706,-4.5478,-5.3704,-6.4426,0.93,-1.71
2708,200712,-0.8184,-0.8865,-1.4183,-2.3611,-1.4561,-0.8702,-1.7018,6.52,-2.05
2708,200801,-5.0847,-7.2508,-4.6648,-3.2213,-6.2359,-4.3762,-3.105,-7.89,6.97
2708,200802,-1.9918,-3.4134,-2.5795,-2.926,-1.719,-2.3694,-4.9155,6.14,5.03
2708,200803,-1.2614,-3.1219,-1.1112,-2.3392,-1.4741,-2.5499,-2.6049,4.1,-0.26
2708,200804,4.4713,3.1273,1.5295,0.1248,5.4858,7.3356,4.6557,-0.2,3.14
2708,200805,1.2228,4.7787,3.9746,1.652,3.9141,3.4268,2.2108,3.21,-2.33
2708,200806,-6.3758,-8.1889,-9.5159,-10.2222,-9.0987,-9.7163,-13.9449,12.54,-7.16
2708,200807,-1.6487,1.7956,2.1623,0.9061,-1.1495,-2.5347,1.2698,-5.15,8.18
2708,200808,-0.4373,1.3217,2.7272,3.5631,1.4156,1.6952,2.3581,-4.05,-0.75
2708,200809,-9.4436,-13.253,-9.5279,-9.454,-12.9526,-13.0807,-7.0192,0.35,-3.73
2708,200810,-14.9555,-23.275,-20.2556,-20.2984,-20.2397,-22.4124,-21.2587,7.79,-9.59
2708,200811,-6.0837,-14.4264,-14.4809,-16.1922,-9.7456,-9.7556,-11.2359,7.11,-10.1
2708,200812,3.9366,4.4194,4.752,0.1491,3.9977,4.1062,6.2719,-5.07,5.22
2769,200401,1.6386,7.4347,5.6141,9.6439,1.8648,2.3394,4.1918,2.6,2.29
2769,200402,-0.0896,0.246,0.8748,1.1041,2.002,3.1512,2.4318,-1.09,1.46
2769,200403,-1.255,0.0359,0.4323,0.8479,-0.0386,-0.5464,-0.5932,0.21,-2.15
2769,200404,-1.5433,-3.5323,-2.8962,-3.2722,-1.3912,-3.3782,-4.495,-5.39,-0.21
2769,200405,1.6598,-1.0464,-0.0485,-0.0668,1.6278,1.8244,2.6119,1.61,2.26
2769,200406,1.7234,2.0563,3.1269,2.9621,1.7195,2.6815,3.1206,2.1,0.3
2769,200407,-5.5729,-10.7273,-5.2772,-4.0352,-6.2259,-3.6309,-2.3895,-2.29,-1.34
2769,200408,-1.4636,-2.7662,-0.3081,-1.5698,-1.7521,0.8597,0.0991,-1.55,-2.36
2769,200409,1.1979,4.6985,4.8787,3.3441,2.9624,3.7119,3.0197,5.24,3.04
2769,200410,3.0303,2.5174,1.907,1.3227,2.9191,2.1121,1.6583,-1.52,0.15
2769,200411,2.7574,10.3134,8.389,9.7191,5.0401,7.0028,7.9904,3.23,1.47
2769,200412,3.6571,7.8056,4.825,6.4923,4.5914,3.743,3.3282,-2.84,0.91
2769,200501,-3.9758,-5.5576,-3.0735,-2.1174,-3.095,-2.1968,-1.9716,3.21,1.49
2769,200502,-0.045,0.0825,0.9714,1.5728,1.6583,3.0695,2.781,3.16,-2.35
2769,200503,-1.4419,-5.4096,-2.3046,-1.6161,-1.3525,-1.1136,-0.6693,0.54,0.13
2769,200504,-3.2907,-7.012,-5.8827,-5.9099,-3.6351,-3.0782,-3.6685,-0.85,-1.85
2769,200505,4.6314,6.7482,5.0035,3.4769,5.5289,4.7535,5.4207,0.43,3.16
2769,200506,0.1581,2.9887,3.618,4.0485,0.6894,3.0394,3.0555,2.05,0.04
2769,200507,4.6459,7.6016,7.1404,6.3426,5.2043,5.1982,4.8475,-0.01,-0.11
2769,200508,-3.1466,-2.0943,-0.9503,-0.3427,-1.4482,-0.5695,-0.7949,2.27,-1.44
2769,200509,0.089,0.7411,0.5148,0.8575,0.0983,1.3838,1.2918,3.46,-3.73
2769,200510,0.7559,-4.3223,-2.7448,-2.6828,-1.5828,-2.7264,-3.1419,-1.28,1.58
2769,200511,3.4863,3.4987,3.7404,3.2183,4.998,4.3571,3.2227,0.25,0.09
2769,200512,-0.3762,0.8007,0.1512,1.3211,0.494,1.1842,1.1884,0.77,1.95
2769,200601,0.9421,10.0755,8.6725,7.3746,3.7446,4.5291,4.8465,2.68,-1.1
2769,200602,0.7556,0.8663,0.3361,0.6974,0.4074,0.2545,-1.0817,-1.84,3.35
2769,200603,1.985,4.2264,4.7742,5.2868,2.519,1.902,1.5237,1.26,0.03
2769,200604,-0.4758,-0.7065,0.4994,1.8149,0.2913,0.9501,2.6648,0.61,-0.36
2769,200605,-4.3025,-7.9298,-4.0883,-3.4381,-4.0181,-2.5191,-2.14,-3.65,-0.03
2769,200606,-1.4986,-1.381,-0.7962,-0.0727,-0.4778,-0.7072,0.3026,1.49,-0.61
2769,200607,-0.9221,-5.5367,-2.9042,-2.4477,-3.3359,-1.9166,-1.207,-2.21,0.24
