fund number,Date,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931,20140312,-0.0532,0.32,0.41,-0.03,0.19,0.05,0.13,-0.05,-0.17
3931,20140313,-1.5426,-1.36,-1.02,-0.92,-1.42,-1.04,-0.92,-0.32,0.27
3931,20140314,-0.4322,0.43,0.25,0.13,0.06,0.23,0.12,-0.14,-0.13
3931,20140317,1.0852,0.75,0.55,0.59,0.79,0.76,0.87,0.26,0.12
3931,20140318,0.9125,1.52,1.19,0.93,0.95,0.83,0.83,0.51,0.17
3931,20140319,-0.5851,-0.32,-0.53,-0.14,-0.68,-0.58,0.01,-0.12,0.01
3931,20140320,0.2675,0.13,0.15,0.41,0.12,0.33,0.87,-0.19,-0.45
3931,20140321,-0.7471,-0.59,0.08,0.16,-0.61,-0.05,0.32,-1.14,-0.08
3931,20140324,-1.129,-2.17,-1.22,-0.87,-1.09,-0.64,-0.26,-1.03,-0.48
3931,20140325,0,-0.25,0.05,-0.05,-0.06,0.26,0.16,-0.23,-0.02
3931,20140326,-0.9788,-2.45,-2.06,-1.57,-1.12,-0.97,-0.77,-0.87,-0.29
3931,20140327,-0.3844,-0.33,-0.3,-0.48,-0.19,-0.12,-0.36,-0.45,0.29
3931,20140328,0.2205,-0.46,0.14,0.19,0.42,0.74,0.66,-0.46,-0.33
3931,20140331,0.9351,1.97,1.69,1.26,1.16,1.19,1.37,0.68,0.3
3931,20140401,1.3079,1.35,1.22,1.13,1.25,0.89,0.59,0.99,0.77
3931,20140402,0.2152,0.39,0.46,0.43,0.34,0.43,0.3,-0.1,0.15
3931,20140403,-0.4831,-1.76,-0.89,-0.73,-0.74,0.03,0.1,-1.07,-1.08
3931,20140404,-2.1575,-2.63,-2.12,-1.69,-1.83,-1.25,-1.05,-1.7,-1.12
3931,20140407,-1.8192,-1.79,-1.5,-1.08,-1.63,-1.65,-1.61,-1.04,-0.69
3931,20140408,0.5053,0.8,0.76,0.61,0.75,0.55,0.46,-0.11,0.03
3931,20140409,1.9553,1.93,1.22,0.87,1.52,1.03,0.82,1.39,1.68
3931,20140410,-3.0137,-3.36,-2.4,-1.82,-2.62,-2,-2.1,-1.88,-1.63
3931,20140411,-1.4124,-1.84,-1.22,-0.8,-1.41,-1.02,-1.26,-0.54,-0.73
3931,20140414,0.745,-0.55,0.26,-0.19,0.66,0.7,0.64,-0.19,-0.26
3931,20140415,0.6257,-0.27,-0.11,-0.35,0.58,0.65,0.66,0.01,-0.19
3931,20140416,1.4698,1.48,1.04,0.79,1.32,1.1,0.94,0.97,1
3931,20140417,0.1671,0.45,0.6,0.6,0.31,0.3,0.24,0.29,-0.04
3931,20140421,0.7786,1,0.61,0.55,0.32,0.28,0.27,0.17,0.33
3931,20140422,0.9382,1.77,1.09,0.87,0.77,0.53,0.75,0.71,1.24
3931,20140423,-0.6014,-1.14,-0.78,-0.45,-0.61,-0.04,0.3,-0.3,-0.58
3931,20140424,0.44,-0.36,-0.29,-0.19,-0.11,0.22,-0.01,-0.53,0.25
3931,20140425,-1.5334,-2.43,-1.71,-1.39,-1.5,-1.15,-0.84,-1.29,-0.71
3931,20140428,-0.3337,-0.96,-0.72,-0.56,-0.27,-0.24,-0.39,-1.12,-0.92
3931,20140429,1.0045,0.52,0.12,-0.15,0.61,0.44,0.48,0.68,0.98
3931,20140430,0.1657,0.54,0.3,0.21,0.61,0.43,0.59,0.55,-0.07
3931,20140501,0.4964,-0.08,-0.13,-0.34,0.05,0.12,0.18,0.09,0.76
3931,20140502,-0.1647,-0.47,0.17,0.19,0.07,0.06,0.16,0.12,0.15
3931,20140505,0.4948,-0.06,-0.08,-0.34,0.2,0.13,-0.31,0.42,-0.21
3931,20140506,-1.2035,-2.01,-1.52,-1.14,-1.11,-0.77,-1.01,-0.42,-0.63
3931,20140507,-0.0554,-1.04,-0.35,-0.27,-0.14,0.66,0.99,-0.17,-0.65
3931,20140508,-0.3324,-1.89,-1.32,-0.96,-0.24,-0.48,-0.19,-0.62,0.43
3931,20140509,0.2779,1.1,0.86,0.76,0.41,0.05,0.06,-0.18,0.65
3931,20140512,1.6075,2.53,2.33,1.99,1.66,1.3,1.3,0.9,0.92
3931,20140513,-0.1637,-0.75,-0.85,-0.58,-0.27,-0.15,-0.19,-0.17,0.04
3931,20140514,-0.5464,-1.25,-1.67,-1.43,-0.7,-0.63,-1.02,-0.43,-0.04
3931,20140515,-1.0989,-0.55,-0.55,-0.83,-0.83,-0.92,-1.07,-0.28,0.37
3931,20140516,0.5,0.46,0.54,0.22,0.59,0.44,0.1,-0.18,-0.09
3931,20140519,0.8845,1.07,0.95,0.78,0.64,0.39,0.6,0.69,0.27
3931,20140520,-0.6575,-1.5,-1.37,-0.96,-1.21,-0.89,-0.92,0.08,-0.04
3931,20140521,0.9928,0.27,0.36,0.36,0.68,0.67,0.6,0.44,0.19
3931,20140522,0.4915,1.22,0.92,0.48,0.62,0.4,0.38,0.06,0.38
3931,20140523,0.7065,1.29,0.97,0.88,0.7,0.54,0.41,0.42,0.19
3931,20140527,0.9174,1.64,1.4,1.01,0.83,0.6,0.6,0.49,0.15
3931,20140528,-0.2139,-0.02,-0.24,-0.17,-0.39,-0.03,0.03,0.19,0.06
3931,20140529,0.5359,0.31,0.28,0.37,0.6,0.52,0.58,0.26,0.09
3931,20140530,-0.0533,-0.89,-0.37,-0.26,-0.08,-0.01,-0.09,-0.02,0.36
3931,20140602,0.1067,-1.15,-0.57,-0.58,0.09,0.28,0.31,0.24,-0.12
3931,20140603,-0.0533,-0.62,-0.5,-0.31,-0.11,0.1,0.07,0.19,-0.21
3931,20140604,0.3731,0.31,0.21,0.18,0.39,0.3,0.71,0.35,-0.2
3931,20140605,0.5842,2.26,1.88,1.51,0.84,0.85,0.75,-0.14,0.19
3931,20140606,0.528,1.09,0.95,0.78,0.71,0.67,0.56,-0.22,0.08
3931,20140609,0.105,1.69,0.78,0.9,0.32,0.17,0.22,-0.42,-0.44
3931,20140610,0.1574,0.39,0.03,-0.07,-0.18,-0.19,-0.1,-0.14,-0.03
3931,20140611,-0.1572,-0.15,-0.4,-0.36,-0.24,-0.36,-0.5,0.22,-0.14
3931,20140612,-0.8919,-0.32,-0.4,-0.3,-0.75,-0.58,-0.49,-0.26,0.1
3931,20140613,0.2118,0.38,0.03,-0.04,0.32,0.38,0.41,-0.08,0.07
3931,20140616,0.3698,0.96,0.24,0,0.24,0.15,-0.07,0.1,-0.26
3931,20140617,0.2632,0.9,0.81,0.87,0.65,0.43,1.02,-0.05,0
3931,20140618,0.7349,0.35,0.54,0.45,0.66,0.63,0.69,0.09,0.1
3931,20140619,0,-0.06,-0.03,-0.01,0.05,0.23,0.16,0.11,0.25
3931,20140620,0.2084,0.03,0.31,0.37,0.22,0.19,0.12,0.36,-0.29
3931,20140623,0,-0.16,-0.19,-0.38,0.03,-0.09,0.01,-0.16,-0.07
3931,20140624,-0.728,-1.19,-0.93,-0.92,-0.67,-0.84,-0.9,-0.44,0.7
3931,20140625,0.681,0.63,0.66,0.69,0.52,0.59,0.52,0.4,0.02
3931,20140626,-0.052,-0.05,-0.12,-0.04,-0.13,-0.12,0.05,0.22,0.09
3931,20140627,0.4164,0.83,0.78,0.77,0.4,0.45,0.22,-0.16,0.25
3931,20140630,0.2074,0.26,0.23,0.35,0.23,0.38,0.37,0.12,-0.08
3931,20140701,0.9829,1.16,1.19,0.94,0.77,0.7,0.41,0.22,0.17
3931,20140702,0.0512,-0.11,-0.18,-0.14,-0.17,-0.34,-0.41,-0.07,0.45
3931,20140703,0.6144,0.61,0.7,0.6,0.69,0.61,0.48,0.03,0.07
3931,20140707,-0.8142,-2.26,-1.77,-1.21,-1.06,-0.87,-0.74,-0.16,0.77
3931,20140708,-1.2314,-2.17,-1.16,-1.05,-1.24,-0.68,-0.6,-0.23,0.67
3931,20140709,0.6753,0.06,0.1,0.12,0.5,0.3,0.33,0.31,-0.18
3931,20140710,-0.5676,-1.17,-0.87,-0.9,-0.67,-0.52,-0.58,0,0.01
3931,20140711,0.4152,0.31,-0.26,-0.02,-0.01,0.01,-0.09,0.12,0.35
3931,20140714,0.6718,0.63,0.57,0.48,0.38,0.37,0.3,0.39,0.07
3931,20140715,-0.3593,-1.72,-1.05,-0.72,-0.69,-0.25,-0.06,-0.51,0.17
3931,20140716,0.3606,-0.29,-0.36,0.08,0,0.36,0.19,-0.14,-0.28
3931,20140717,-1.386,-1.97,-1.44,-1.05,-1.26,-1.2,-1.31,-0.55,-0.19
3931,20140718,1.5096,1.88,1.26,0.95,1.2,1.15,1.09,0.52,0.3
3931,20140721,-0.2564,-0.27,-0.42,-0.28,-0.29,-0.21,-0.27,0.23,0.01
3931,20140722,0.7198,0.9,0.97,0.5,0.66,0.65,0.31,0.28,-0.03
3931,20140723,0.7147,0.65,-0.14,0.14,0.14,-0.03,-0.03,-0.19,0.32
3931,20140724,0.2027,-0.14,-0.27,-0.26,0.37,0.09,0.24,-0.14,0.4
3931,20140725,-0.5058,-0.89,-0.87,-0.44,-0.56,-0.59,-0.49,-0.23,-0.01
3931,20140728,-0.1017,-0.95,-0.51,-0.23,-0.26,-0.19,-0.03,-0.23,-0.3
3931,20140729,-0.4071,0.63,0.14,-0.19,0.03,-0.65,-0.59,-0.23,0.3
3931,20140730,0.3066,0.67,0.49,0.42,0.38,0.07,-0.24,-0.13,-0.06
3931,20140731,-2.3434,-2.3,-1.78,-1.35,-2.23,-1.96,-1.92,-0.68,-0.1
3931,20140801,-0.3652,-0.96,-0.8,-0.54,-0.15,-0.24,-0.36,0.3,0.24
3931,20140804,0.8901,0.82,0.58,0.32,0.88,0.72,0.5,0.55,0.21
3931,20140805,-0.8822,-0.02,-0.04,-0.16,-0.48,-0.89,-0.73,-0.33,0.2
3931,20140806,-0.2094,0.37,0.38,0.47,-0.01,-0.23,0.24,-0.56,0.25
3931,20140807,-0.5247,-0.61,-0.76,-0.36,-0.37,-0.69,-0.45,0.1,0.16
3931,20140808,0.9494,1.03,0.79,0.58,1.2,1.3,1.23,0.06,0.45
3931,20140811,0.418,1.2,0.87,0.73,0.6,0.49,0.21,0,-0.16
3931,20140812,-0.4162,-0.95,-0.72,-0.48,-0.43,-0.33,-0.14,-0.05,-0.22
3931,20140813,0.9927,0.67,0.42,0.5,0.82,0.72,0.62,0.8,-0.04
3931,20140814,0.4656,0.24,0.18,0.2,0.46,0.42,0.35,-0.32,-0.23
3931,20140815,0.1545,-0.19,-0.18,-0.26,0.03,-0.03,-0.02,0.38,0.17
3931,20140818,1.0797,1.26,1.27,1,1.13,1.02,0.8,0.14,-0.02
3931,20140819,0.6104,0.35,0.59,0.24,0.54,0.44,0.54,-0.03,-0.1
3931,20140820,0.2528,-0.77,-0.57,-0.25,0.16,0.35,0.23,0.03,0.34
3931,20140821,0,-0.17,0.48,0.39,0.02,0.22,0.38,-0.39,0.01
3931,20140822,0.2017,0.24,0.34,0.12,0.18,-0.17,-0.24,0.09,-0.36
3931,20140825,0.4529,0.56,0.26,0.28,0.56,0.42,0.61,0.28,-0.11
3931,20140826,0.1002,1.04,0.63,0.47,0.38,0.12,0.17,-0.24,-0.05
3931,20140827,0,-0.1,-0.19,0.05,-0.18,0.02,0.16,0.06,0.13
3931,20140828,-0.1502,-0.54,-0.51,-0.36,-0.21,-0.02,-0.15,0.05,0.02
3931,20140829,0.4511,0.88,0.69,0.51,0.55,0.4,0.61,0.06,0.01
3931,20140902,0.2994,0.19,0.65,0.46,0.28,0.13,-0.17,0.3,-0.32
3931,20140903,-0.4478,-0.72,-0.69,-0.43,-0.22,-0.11,-0.07,-0.15,0.64
3931,20140904,-0.1499,-0.31,-0.21,-0.31,-0.28,-0.21,-0.41,-0.34,-0.23
3931,20140905,0.7508,0.04,0.14,0.19,0.39,0.42,0.32,0.29,-0.1
3931,20140908,0.0497,0.95,0.36,0.13,-0.01,-0.28,-0.42,0.17,-0.3
3931,20140909,-0.8441,-1.22,-1.04,-0.73,-0.86,-0.72,-0.87,0.16,0.18
3931,20140910,0.651,0.86,0.27,0.26,0.56,0.24,0.31,0,-0.19
3931,20140911,0.0995,0.4,0.54,0.29,0.23,0.33,0.52,-0.11,0.14
3931,20140912,-0.5467,-0.73,-0.65,-0.41,-0.61,-0.74,-0.58,-0.4,-0.43
3931,20140915,-0.8496,-1.55,-1.13,-0.97,-0.84,-0.32,-0.1,-0.12,0.34
3931,20140916,0.9577,-0.15,0.1,0.09,0.64,0.59,0.5,0.67,0.24
3931,20140917,0.1997,0.57,0.18,0.11,0.07,0.07,0.12,0.08,-0.28
3931,20140918,0.5979,0.07,0.32,0.24,0.45,0.42,0.12,0.06,-0.53
3931,20140919,-0.0991,-1.01,-0.89,-0.26,-0.38,-0.54,-0.41,0.05,-0.18
3931,20140922,-1.4378,-2.05,-1.41,-1.1,-1.25,-1.31,-1.28,-0.05,-0.56
3931,20140923,-0.2515,-0.88,-0.78,-0.73,-0.75,-0.71,-0.71,0.26,0.25
3931,20140924,0.9581,1.08,0.55,0.05,1.08,0.58,0.3,0.17,-0.03
3931,20140925,-1.8981,-1.55,-1.55,-0.97,-1.58,-1.5,-1.42,-0.22,-0.12
3931,20140926,1.222,0.96,0.9,0.46,0.83,0.71,0.61,0.58,0.16
3931,20140929,-0.2515,0.31,0.02,-0.16,0.01,-0.22,-0.14,0.14,-0.39
3931,20140930,-0.6051,-1.14,-1.13,-0.72,-0.71,-0.77,-0.73,-0.16,-0.8
3931,20141001,-1.725,-1.89,-1.53,-1.17,-1.52,-1.56,-1.23,-0.35,-0.34
3931,20141002,0.1033,1.3,1,0.56,0.35,0.14,0.07,-0.25,0.13
3931,20141003,1.3409,1.04,0.5,0.21,1.12,0.76,0.65,0.5,-0.68
3931,20141006,-0.5598,-1.33,-1,-0.62,-0.46,-0.28,-0.15,-0.33,-0.08
3931,20141007,-1.5865,-2.09,-1.67,-1.31,-1.68,-1.74,-1.51,0.1,-0.55
3931,20141008,1.5601,1.15,1.37,0.87,1.59,1.46,1.44,0.28,-0.47
3931,20141009,-2.2017,-2.7,-2.5,-1.86,-2.28,-2.51,-2.79,0.06,-1.81
3931,20141010,-2.0419,-1.45,-1.28,-0.69,-1.96,-1.71,-1.36,-0.42,-1.74
3931,20141013,-2.2982,-0.16,-0.34,-0.25,-1.87,-2.01,-1.54,-0.94,-2.09
3931,20141014,0.1094,0.77,0.75,0.49,0.7,0.53,0.55,-0.82,-0.05
3931,20141015,-0.6557,1.7,1.05,0.54,0.3,0.02,-0.66,-0.69,2.2
3931,20141016,0.44,1.61,1.64,1.31,0.77,0.91,0.94,-0.29,2.19
3931,20141017,1.4786,-0.23,-0.22,-0.39,1.06,1.23,0.65,1.07,0.67
3931,20141020,1.2952,1.32,0.77,0.62,1.19,0.94,1.03,0.05,0.11
3931,20141021,2.504,1.28,1.44,0.98,2.29,2.51,2.3,0.27,1.26
3931,20141022,-0.9356,-1.55,-1.17,-0.97,-1.31,-1.23,-1.05,0.76,-0.7
3931,20141023,1.5215,1.88,1.46,0.97,1.45,1.66,1.08,0.09,0.92
3931,20141024,0.8269,0.28,0.02,-0.09,0.69,0.53,0.4,1.08,-0.46
3931,20141027,-0.205,-0.34,-0.27,-0.23,-0.27,-0.42,-0.63,0.35,-1.24
3931,20141028,1.3867,2.61,2.86,1.82,1.62,1.83,1.79,-0.29,0.59
3931,20141029,-0.5572,-0.4,-0.4,0.23,-0.55,-0.22,0.1,0.25,0.42
3931,20141030,0.4585,0.99,0.76,0.43,0.68,0.3,0.26,0,-0.69
3931,20141031,1.2677,0.96,1.45,0.91,1.33,1.51,1.33,-0.02,0.81
3931,20141103,0.1002,-0.27,-0.48,-0.36,-0.02,0,-0.22,0.35,-0.4
3931,20141104,-0.4002,-0.33,-0.38,-0.47,-0.54,-0.68,-0.68,0.52,-0.91
3931,20141105,0.2009,-0.07,0.3,0.36,-0.02,0.92,1.14,-0.21,0.52
3931,20141106,0.6516,0.48,0.48,0.23,0.8,0.75,0,0.21,0.09
3931,20141107,-0.3486,0.06,0.18,0.37,-0.04,0.3,0.69,-0.92,0.66
3931,20141110,0.3998,0.66,0.34,0.1,0.36,0.2,-0.15,0.62,-0.54
3931,20141111,0.0498,0.11,-0.05,-0.11,0.18,0.05,-0.1,-0.35,0.14
3931,20141112,0.0498,0.63,0.68,0.42,0.32,0.14,-0.12,-0.2,0.09
3931,20141113,0.0497,-1.11,-1.12,-0.76,-0.31,-0.48,-0.57,0.39,0.28
3931,20141114,0.0994,-0.12,0.12,0.12,0.08,0.27,0.26,-0.77,0.46
3931,20141117,-0.149,-1.01,-1.12,-0.59,-0.21,-0.11,0.1,0.59,0.1
3931,20141118,1.0443,0.53,0.4,0.21,0.68,0.55,0.37,0.65,0.16
3931,20141119,-0.2953,-1.2,-1.04,-0.97,-0.19,-0.22,-0.4,-0.06,0.18
3931,20141120,0.2468,1.07,1.1,0.9,0.52,0.62,0.73,-0.73,0.1
3931,20141121,0.5908,0.3,0.23,0.04,0.58,0.59,0.55,-0.37,0.42
3931,20141124,0.6853,1.46,1.18,0.71,0.73,0.4,0.12,0.12,-0.35
3931,20141125,0.0972,-0.31,-0.13,0,-0.06,-0.11,-0.22,0.49,0.25
3931,20141126,0.2914,0.68,0.34,0.03,0.15,-0.09,-0.31,0.97,-0.37
3931,20141128,-0.0484,-1.37,-1.69,-1.6,-0.41,-1.45,-1.9,1.22,-2.63
3931,20141201,-1.4535,-2.15,-1.68,-1.51,-1.35,-1.23,-0.99,0.31,0.16
3931,20141202,0.5408,1.04,1.14,0.69,0.56,0.52,0.56,0.81,0.06
3931,20141203,0.489,0.75,0.83,0.61,0.64,1.16,0.85,-0.21,0.45
3931,20141204,0.146,-0.76,-0.63,-0.28,-0.29,-0.43,-0.46,0.92,-0.39
3931,20141205,0.3887,1.01,0.87,0.7,0.27,0.14,0.23,0.41,-0.37
3931,20141208,-0.7744,-1.64,-1.77,-1.51,-1.05,-1.5,-1.1,1.12,-1.87
3931,20141209,0.1463,2.24,2.08,1.23,0.44,0.49,0.79,-0.37,0.86
3931,20141210,-1.6074,-2.39,-2.32,-1.95,-1.92,-2.24,-2.27,0.65,-1.03
3931,20141211,0.495,0.35,0.25,0.24,0.59,0.33,0.43,0.2,-0.59
3931,20141212,-1.0837,-0.54,-0.94,-0.98,-1.3,-1.74,-1.89,0.05,-0.54
3931,20141215,-0.6474,-1.64,-0.68,-0.95,-0.59,-0.65,-0.99,0.16,-0.16
3931,20141216,-1.2531,-0.51,-0.07,0.17,-0.63,-0.31,0.02,-0.6,1.07
3931,20141217,2.1827,3.49,2.69,2.3,2.4,2.52,2.71,-0.65,1.49
3931,20141218,2.2861,1.77,1.49,1.28,2.16,1.99,2.05,0.26,0.27
3931,20141219,0.4608,0.4,0.34,0.34,0.54,0.82,1.05,-1.02,1.58
3931,20141222,0,0.37,0.68,0.52,0.21,0.35,-0.27,0.21,-0.13
3931,20141223,-0.344,-0.49,0.37,0.23,0.15,0.62,0.84,-0.93,0.94
3931,20141224,0.1151,0.53,0.4,0.26,0.09,0.07,0.01,0.73,-0.25
3931,20141226,0.4598,0.93,0.55,0.51,0.38,0.28,0.33,0.08,0.19
3931,20141229,0.0572,-0.17,0.17,0.42,0.21,0.32,0.56,-0.18,0.07
3931,20141230,-0.5146,-0.55,-0.27,-0.05,-0.65,-0.46,-0.49,-0.08,0.06
3931,20141231,-0.7471,0.55,-0.08,-0.05,-0.69,-0.9,-0.97,-0.48,0.16
3931,20150102,-0.1158,0.07,-0.14,-0.21,-0.22,-0.09,0,-0.09,0.69
3931,20150105,-1.7971,-1.07,-1.43,-1.11,-1.79,-2.31,-2.58,1.19,-0.56
3931,20150106,-1.0626,-1.7,-1.78,-1.24,-1.27,-1.21,-1.35,0.48,-0.32
3931,20150107,1.3723,1.48,0.95,0.41,1.3,0.95,0.74,0.93,-0.58
3931,20150108,1.9423,1.95,1.58,0.93,1.88,1.93,1.85,0.13,0.18
3931,20150109,-0.5774,-0.64,-0.72,-0.57,-0.75,-0.83,-1.14,0.04,-0.35
3931,20150112,-0.9292,-0.23,-0.63,-0.18,-0.75,-1.13,-1.09,0.91,-0.65
3931,20150113,-0.1758,-0.42,-0.06,-0.03,-0.13,-0.29,-0.32,0.32,-0.03
3931,20150114,-0.5285,-0.2,-0.48,-0.62,-0.51,-0.52,-0.61,0.07,-0.82
3931,20150115,-1.4758,-2.7,-1.86,-1.29,-1.39,-1.17,-1.16,0.76,0
3931,20150116,1.2582,1.86,1.45,1.37,1.37,1.52,1.6,-0.25,0.04
3931,20150120,0.4734,-0.44,-0.79,-0.8,0.12,-0.13,-0.55,0.74,-0.54
3931,20150121,0.7067,-1,-0.32,-0.17,0.66,0.95,1.02,-1,0.73
3931,20150122,1.345,1.36,1.68,1.46,1.4,1.57,1.68,0.32,0.81
3931,20150123,0.1154,0,-0.21,-0.46,-0.24,-0.54,-0.77,0.11,-0.17
3931,20150126,0.4611,1.41,0.91,0.66,0.72,0.89,1.05,-0.85,0.32
3931,20150127,-1.3769,-0.23,-0.23,-0.19,-0.8,-0.74,-0.43,-0.43,-0.47
3931,20150128,-0.9308,-1.39,-1.53,-1.28,-1.42,-1.55,-2.18,1.22,-0.63
3931,20150129,0.9395,1.07,1.16,0.77,0.98,0.77,0.9,0.63,-0.19
3931,20150130,-0.9308,-1.87,-1.73,-1.05,-1.1,-1.08,-0.76,-2.64,0.42
3931,20150202,0.7046,0.38,0.94,1.22,1.13,1.5,2.07,-0.8,1.5
3931,20150203,1.1079,1.3,1.88,1.58,1.78,2.27,2.38,-1.21,1.47
3931,20150204,-0.2884,-0.49,-0.53,-0.46,-0.35,-0.54,-0.71,0.79,-0.11
3931,20150205,0.9832,1.71,1.48,1.27,1.2,1.34,1.32,-0.71,0.15
3931,20150206,-0.4582,-0.1,0.09,0.19,-0.15,-0.08,-0.02,-0.8,0.29
3931,20150209,-0.6904,-0.43,-0.32,-0.3,-0.44,-0.35,-0.31,-0.68,-0.12
3931,20150210,1.3905,0.72,0.23,0.07,1.04,0.85,0.43,1.22,0.37
3931,20150211,0.3429,0.07,-0.13,-0.02,0.11,-0.03,-0.44,0.48,-0.14
3931,20150212,1.139,1.24,0.96,0.84,1.27,1.08,1.07,-0.46,-0.26
3931,20150213,0.5631,0.85,0.93,0.65,0.78,0.76,0.5,-1.3,-0.12
3931,20150217,0.112,0.57,0.38,0.26,0.26,0.19,0.39,0.01,-0.12
3931,20150218,0.2237,0.57,-0.01,-0.23,0.28,0.21,-0.24,0.65,0.64
3931,20150219,0.279,0.15,0.3,0.26,0.2,0.03,-0.08,-0.55,-0.2
3931,20150220,0.7791,-0.08,0.05,-0.16,0.69,0.59,0.39,0.57,-0.08
3931,20150223,0,-0.25,-0.37,-0.43,-0.15,-0.16,-0.33,0.95,0
3931,20150224,0.1104,0.56,0.53,0.44,0.04,0.37,0.51,-0.03,0.38
3931,20150225,0.2206,0.75,0.57,0.28,0.41,-0.05,-0.25,-1,-0.1
3931,20150226,0.3302,0.6,0.25,0.1,-0.15,-0.33,-0.8,0.34,-0.06
3931,20150227,-0.4388,-0.78,-0.27,-0.33,-0.4,-0.33,-0.18,-0.22,0.32
3931,20150302,1.1019,1.01,0.81,0.46,0.83,0.55,-0.04,0.35,-0.27
