fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.10778,0.09675,0.12839,0.17385,0.14216,0.1219,0.11502,0.11414
2801.0,0.08501,0.11936,0.10571,0.19054,0.12439,0.16247,0.10973,0.1028
2805.0,0.0852,0.1189,0.10613,0.19485,0.12301,0.16006,0.10909,0.10275
2899.0,0.10714,0.09348,0.10953,0.18355,0.15842,0.12341,0.11461,0.10987
2914.0,0.1059,0.09397,0.10972,0.18599,0.15781,0.12287,0.11458,0.10918
2918.0,0.10681,0.09266,0.11049,0.1861,0.15703,0.12316,0.1146,0.10914
2951.0,0.10863,0.09668,0.10692,0.17354,0.17081,0.1195,0.11406,0.10985
2952.0,0.10668,0.09346,0.11017,0.1863,0.15551,0.12382,0.11454,0.10951
3449.0,0.11019,0.09923,0.13578,0.13731,0.17859,0.10004,0.12391,0.11495
3463.0,0.11021,0.09971,0.13629,0.1381,0.17823,0.09974,0.12333,0.11439
3480.0,0.11032,0.09976,0.13635,0.13964,0.17448,0.10098,0.12362,0.11485
3481.0,0.11028,0.09931,0.13641,0.13615,0.17756,0.10029,0.12497,0.11503
3566.0,0.11354,0.09092,0.10902,0.15471,0.16556,0.14794,0.11253,0.10579
3569.0,0.10496,0.10533,0.10318,0.14747,0.21276,0.11245,0.10969,0.10415
3595.0,0.09739,0.11497,0.10284,0.13773,0.16841,0.1605,0.11657,0.10158
3597.0,0.09457,0.10029,0.11083,0.20047,0.15761,0.11021,0.11929,0.10673
3613.0,0.11333,0.09061,0.10975,0.1557,0.16421,0.14795,0.11238,0.10607
3621.0,0.11418,0.09766,0.1329,0.13962,0.16259,0.11767,0.11905,0.11634
3693.0,0.10096,0.1181,0.10703,0.13911,0.18592,0.13193,0.11177,0.10519
3704.0,0.10094,0.12104,0.10467,0.13564,0.18934,0.13101,0.11186,0.10551
3720.0,0.09379,0.09365,0.116,0.12881,0.23863,0.11685,0.11056,0.10172
3799.0,0.12835,0.08688,0.15943,0.12375,0.15791,0.11216,0.11302,0.11849
3800.0,0.12975,0.08417,0.16292,0.12352,0.15736,0.11184,0.11272,0.11773
3801.0,0.12833,0.08726,0.16009,0.12614,0.15347,0.11328,0.11305,0.11837
3802.0,0.12964,0.08972,0.14873,0.1276,0.15654,0.11624,0.11219,0.11934
3803.0,0.12819,0.08776,0.15861,0.1248,0.15844,0.11205,0.11229,0.11786
3805.0,0.12842,0.08844,0.15865,0.12456,0.15655,0.11143,0.11329,0.11866
3806.0,0.1287,0.09089,0.15394,0.12625,0.15226,0.11519,0.11449,0.11827
3807.0,0.12936,0.09029,0.15367,0.12568,0.15338,0.11401,0.11441,0.1192
3808.0,0.12787,0.09388,0.14697,0.12937,0.14962,0.12001,0.11335,0.11891
3809.0,0.12805,0.09185,0.15474,0.12792,0.14927,0.11491,0.1141,0.11915
3810.0,0.12719,0.09598,0.14992,0.1248,0.14959,0.11564,0.11627,0.12061
3811.0,0.12869,0.09463,0.14895,0.12533,0.14911,0.11625,0.11625,0.1208
3812.0,0.12803,0.09429,0.15024,0.12434,0.15115,0.11522,0.11681,0.11993
3813.0,0.12879,0.09851,0.14067,0.12974,0.14482,0.12078,0.11578,0.12092
3815.0,0.12858,0.09625,0.14825,0.12454,0.15013,0.11576,0.11677,0.11974
3816.0,0.12881,0.10377,0.13961,0.12327,0.14535,0.11861,0.11854,0.12204
3817.0,0.12783,0.10225,0.14148,0.12469,0.14448,0.11902,0.11827,0.12198
3818.0,0.12857,0.10183,0.14138,0.12463,0.14345,0.11903,0.1189,0.1222
3819.0,0.12908,0.10546,0.13441,0.12571,0.143,0.12257,0.11742,0.12234
3820.0,0.12931,0.10286,0.14056,0.12204,0.14519,0.11933,0.11883,0.12189
3930.0,0.09933,0.09074,0.11413,0.18329,0.16383,0.12472,0.12125,0.1027
3936.0,0.09947,0.09066,0.11391,0.1836,0.16436,0.12421,0.12101,0.10277
3971.0,0.09263,0.11517,0.10802,0.17532,0.15683,0.11869,0.12976,0.10359
3972.0,0.09234,0.11588,0.10747,0.17586,0.15778,0.11754,0.12942,0.10371
3975.0,0.0919,0.11501,0.10879,0.17633,0.15716,0.11714,0.12972,0.10395
4074.0,0.09548,0.10986,0.10031,0.13684,0.18817,0.1371,0.12947,0.10277
4075.0,0.09502,0.11038,0.09975,0.13714,0.18818,0.1372,0.12964,0.10269
4077.0,0.09515,0.10966,0.10075,0.13842,0.18669,0.13728,0.12949,0.10256
4128.0,0.10656,0.10266,0.10246,0.14942,0.17046,0.14274,0.12167,0.10402
4129.0,0.10546,0.1029,0.1039,0.14902,0.17412,0.14,0.12059,0.10401
4130.0,0.10307,0.10469,0.10373,0.15464,0.16663,0.14091,0.12112,0.10522
4131.0,0.10412,0.10589,0.1012,0.15389,0.16542,0.14391,0.12064,0.10492
4132.0,0.10498,0.10406,0.10296,0.153,0.16902,0.14078,0.1204,0.1048
4133.0,0.1068,0.10294,0.10304,0.15205,0.17,0.14119,0.12007,0.10391
4134.0,0.10427,0.10336,0.10326,0.15808,0.16522,0.14087,0.11987,0.10507
4301.0,0.09429,0.0848,0.10834,0.31164,0.09482,0.09285,0.1156,0.09766
4366.0,0.10581,0.0985,0.12476,0.17295,0.14324,0.13052,0.11604,0.10817
4367.0,0.10522,0.10054,0.1213,0.18126,0.13638,0.13338,0.11488,0.10703
4368.0,0.10507,0.10178,0.11968,0.18044,0.1366,0.13344,0.11504,0.10796
4369.0,0.10555,0.09938,0.12445,0.17662,0.14056,0.13028,0.11574,0.10741
4370.0,0.10421,0.09904,0.12557,0.16923,0.14623,0.13068,0.11709,0.10795
4371.0,0.10516,0.1009,0.12441,0.16979,0.14351,0.13037,0.11727,0.10857
4372.0,0.10719,0.09745,0.12822,0.16687,0.14467,0.1312,0.1168,0.10761
4373.0,0.10718,0.09802,0.12542,0.17021,0.14479,0.1295,0.11571,0.10917
4375.0,0.10627,0.09981,0.12584,0.16458,0.1517,0.1264,0.11644,0.10896
4376.0,0.10709,0.10475,0.1208,0.16871,0.14255,0.13129,0.11537,0.10943
4377.0,0.10769,0.09925,0.12694,0.16427,0.14683,0.12893,0.11591,0.11018
4378.0,0.10673,0.10466,0.12067,0.1682,0.14388,0.13252,0.11479,0.10856
4379.0,0.11016,0.10468,0.12159,0.15979,0.14806,0.13147,0.11439,0.10986
4380.0,0.10999,0.10296,0.12417,0.16076,0.14854,0.12761,0.11493,0.11104
4381.0,0.10944,0.10411,0.12237,0.16158,0.14537,0.1326,0.11447,0.11006
4382.0,0.11408,0.10307,0.12517,0.14699,0.15391,0.12747,0.11658,0.11274
4383.0,0.11415,0.10162,0.12501,0.14672,0.15607,0.12771,0.1164,0.11232
4385.0,0.11375,0.10433,0.12252,0.15398,0.14665,0.13046,0.11527,0.11304
4386.0,0.11473,0.10494,0.12477,0.14658,0.14736,0.13005,0.11621,0.11536
4387.0,0.11837,0.10237,0.12407,0.14721,0.14709,0.1296,0.11581,0.11548
4388.0,0.11603,0.10844,0.11978,0.14756,0.14679,0.13074,0.11569,0.11497
4389.0,0.11756,0.10898,0.12321,0.14273,0.14487,0.12909,0.11798,0.11558
4390.0,0.11789,0.10824,0.12407,0.14134,0.14971,0.12585,0.11759,0.11532
4391.0,0.11992,0.10823,0.12052,0.14218,0.1438,0.13195,0.1174,0.116
4399.0,0.10539,0.09878,0.12464,0.17208,0.14361,0.13216,0.11614,0.10722
4400.0,0.1055,0.10081,0.11992,0.17968,0.13573,0.1354,0.11591,0.10706
4401.0,0.10608,0.1015,0.11901,0.17773,0.1381,0.13468,0.11573,0.10716
4402.0,0.10529,0.1037,0.11727,0.18055,0.1346,0.13573,0.11528,0.10757
4403.0,0.10517,0.10166,0.12091,0.17343,0.13966,0.13561,0.11635,0.10721
4404.0,0.10478,0.09518,0.13025,0.17196,0.14622,0.1271,0.11689,0.10761
4405.0,0.10471,0.09963,0.12564,0.17008,0.14395,0.1315,0.11693,0.10755
4406.0,0.10352,0.10198,0.12062,0.17867,0.13794,0.13352,0.11602,0.10772
4407.0,0.1048,0.10191,0.12413,0.16814,0.14559,0.1309,0.11614,0.10839
4408.0,0.10634,0.09771,0.1276,0.17093,0.14313,0.12938,0.11658,0.10833
4409.0,0.10339,0.09933,0.12964,0.17278,0.14226,0.12761,0.11667,0.10832
4410.0,0.10615,0.10085,0.12367,0.16927,0.1452,0.1304,0.11566,0.1088
4411.0,0.10715,0.10341,0.12268,0.1678,0.14013,0.13363,0.1153,0.10991
4412.0,0.10648,0.10317,0.12257,0.16588,0.1458,0.13201,0.11558,0.10853
4414.0,0.10793,0.10353,0.12026,0.16532,0.1446,0.13399,0.1152,0.10917
4415.0,0.10827,0.09691,0.1289,0.16577,0.14658,0.12728,0.1155,0.11079
4416.0,0.10905,0.10319,0.12537,0.1552,0.15108,0.12946,0.11594,0.1107
4417.0,0.1084,0.10361,0.12558,0.15863,0.14767,0.12955,0.11558,0.11098
4418.0,0.11373,0.10046,0.12252,0.15513,0.14882,0.13399,0.11534,0.11002
4419.0,0.10918,0.10531,0.1215,0.15873,0.14811,0.13135,0.1152,0.11061
4420.0,0.11485,0.10216,0.12332,0.14813,0.15163,0.13041,0.11618,0.11331
4421.0,0.11258,0.11144,0.11631,0.1527,0.14392,0.1357,0.11536,0.11199
4422.0,0.11217,0.10763,0.11973,0.15438,0.14544,0.13315,0.11523,0.11227
4424.0,0.11468,0.10446,0.12077,0.15027,0.14589,0.1344,0.11593,0.11359
4425.0,0.11697,0.10917,0.11767,0.1468,0.14774,0.13255,0.11528,0.11381
4426.0,0.11753,0.1031,0.12367,0.1433,0.152,0.12807,0.11704,0.11529
4427.0,0.11576,0.10252,0.12682,0.14571,0.15049,0.12861,0.11636,0.11373
4428.0,0.11489,0.10556,0.1243,0.14607,0.14855,0.1298,0.11637,0.11446
4429.0,0.11898,0.10616,0.12503,0.13939,0.14848,0.12765,0.11785,0.11645
4430.0,0.11967,0.10981,0.12098,0.14356,0.14358,0.12985,0.11688,0.11566
4431.0,0.12118,0.10446,0.12387,0.14145,0.14587,0.12882,0.11777,0.11658
4432.0,0.12136,0.10485,0.12374,0.13973,0.1479,0.12921,0.11833,0.11488
4526.0,0.10022,0.09422,0.10902,0.13794,0.17672,0.15926,0.12136,0.10126
4527.0,0.10038,0.09388,0.10929,0.1382,0.17628,0.15959,0.12123,0.10115
4528.0,0.10095,0.0935,0.10939,0.13674,0.17805,0.15899,0.12123,0.10115
4529.0,0.09883,0.09464,0.11179,0.1552,0.1492,0.17651,0.11687,0.09697
4530.0,0.10036,0.09464,0.10831,0.13806,0.17631,0.15997,0.1213,0.10104
4531.0,0.09979,0.09436,0.11338,0.15552,0.14968,0.17446,0.11548,0.09733
4544.0,0.09995,0.10686,0.10597,0.12936,0.20471,0.13329,0.11411,0.10576
4545.0,0.10008,0.10668,0.10597,0.1293,0.2047,0.1334,0.11407,0.1058
4546.0,0.09987,0.10688,0.10605,0.13006,0.20328,0.13392,0.11421,0.10573
4547.0,0.09792,0.11209,0.10929,0.1206,0.20075,0.13983,0.11684,0.10269
4548.0,0.10022,0.10666,0.10602,0.13004,0.20247,0.13456,0.1142,0.10583
4549.0,0.09883,0.10795,0.11219,0.11975,0.20305,0.13914,0.11653,0.10256
4550.0,0.09978,0.10748,0.10596,0.12975,0.20358,0.13366,0.11407,0.10572
4682.0,0.10101,0.09352,0.1093,0.13719,0.17693,0.15979,0.1211,0.10116
4700.0,0.11141,0.10794,0.10059,0.15539,0.16469,0.14315,0.11493,0.1019
4732.0,0.10516,0.09286,0.11428,0.14762,0.15807,0.16909,0.1091,0.10381
4738.0,0.10535,0.09292,0.1138,0.14739,0.15759,0.16972,0.10923,0.10399
4777.0,0.10539,0.09226,0.11407,0.14706,0.15878,0.16928,0.10919,0.10397
4781.0,0.10194,0.09391,0.11175,0.15627,0.15924,0.16398,0.11166,0.10126
4908.0,0.10245,0.09672,0.11687,0.13061,0.18286,0.15492,0.10969,0.10589
4909.0,0.10376,0.09709,0.11492,0.13006,0.1809,0.15768,0.10967,0.10592
4911.0,0.10328,0.09488,0.11888,0.13165,0.18051,0.15565,0.10935,0.10579
4915.0,0.10146,0.10079,0.10366,0.13021,0.20024,0.14789,0.11185,0.10389
4917.0,0.09807,0.09715,0.11268,0.15001,0.16474,0.16359,0.11442,0.09934
4919.0,0.10138,0.09639,0.11941,0.144,0.16217,0.16585,0.10952,0.10128
4921.0,0.10144,0.10171,0.10308,0.13185,0.19562,0.14979,0.11233,0.10418
4924.0,0.1026,0.09686,0.11669,0.1314,0.18046,0.15626,0.1098,0.10592
4925.0,0.10168,0.10097,0.1044,0.13286,0.19664,0.14819,0.1115,0.10376
4926.0,0.10189,0.10029,0.10459,0.13318,0.19524,0.14884,0.11207,0.1039
4927.0,0.10199,0.0993,0.10429,0.13341,0.19493,0.14969,0.11194,0.10445
4928.0,0.10404,0.09569,0.11637,0.13059,0.18112,0.15662,0.1096,0.10595
4944.0,0.10062,0.09508,0.11926,0.19332,0.14479,0.12117,0.11928,0.10648
4945.0,0.10698,0.09679,0.1219,0.17592,0.14914,0.11882,0.12003,0.11041
4954.0,0.10704,0.10216,0.11861,0.16778,0.15302,0.11973,0.12043,0.11124
4955.0,0.10731,0.10157,0.11895,0.16674,0.15503,0.11913,0.12045,0.11083
4956.0,0.10707,0.10041,0.12044,0.16694,0.15537,0.11854,0.12051,0.11072
4957.0,0.10706,0.10156,0.11934,0.16678,0.1543,0.1191,0.1208,0.11106
4958.0,0.11157,0.10388,0.12083,0.15697,0.1527,0.11924,0.12102,0.11377
4959.0,0.1112,0.10437,0.12059,0.1563,0.15452,0.11847,0.12109,0.11346
4960.0,0.11124,0.10436,0.12031,0.1566,0.15498,0.11822,0.12072,0.11357
4961.0,0.11127,0.10415,0.12048,0.15573,0.15555,0.1182,0.12122,0.11338
4976.0,0.09667,0.09907,0.10937,0.18016,0.17558,0.11857,0.1175,0.10308
4977.0,0.09637,0.09949,0.10922,0.1812,0.17412,0.11892,0.1173,0.10339
4978.0,0.09639,0.0998,0.10902,0.18151,0.17427,0.11882,0.11736,0.10283
4999.0,0.09655,0.09908,0.10934,0.18046,0.17491,0.11891,0.11744,0.10331
5002.0,0.09645,0.09927,0.10937,0.18128,0.17397,0.11906,0.11747,0.1031
5031.0,0.09534,0.08958,0.1131,0.20981,0.14809,0.1213,0.12075,0.10204
5032.0,0.09887,0.09228,0.11278,0.1891,0.15786,0.13249,0.11738,0.09923
5033.0,0.09492,0.0902,0.1132,0.20796,0.15022,0.1204,0.12104,0.10205
5043.0,0.09547,0.08017,0.11183,0.2867,0.10075,0.10521,0.11974,0.10013
5060.0,0.09538,0.08012,0.11222,0.28673,0.10016,0.10538,0.11982,0.10019
5063.0,0.09529,0.07988,0.11256,0.28692,0.10015,0.10516,0.11975,0.10028
5073.0,0.09546,0.0799,0.11251,0.28594,0.10063,0.10531,0.12,0.10024
5086.0,0.10603,0.09673,0.1219,0.17901,0.1473,0.11864,0.11942,0.11097
5087.0,0.10644,0.09592,0.12261,0.17739,0.14993,0.11733,0.11975,0.11062
5094.0,0.10686,0.10063,0.11794,0.17951,0.14027,0.12861,0.11935,0.10683
5098.0,0.10813,0.09698,0.12092,0.17461,0.14915,0.11887,0.12007,0.11127
5100.0,0.10661,0.09616,0.12262,0.1774,0.14788,0.11849,0.1197,0.11114
5103.0,0.10521,0.09748,0.12202,0.18056,0.14654,0.11817,0.11912,0.1109
5145.0,0.09563,0.0801,0.11191,0.2864,0.10055,0.10544,0.11981,0.10014
5146.0,0.09498,0.09024,0.11367,0.20862,0.14884,0.12065,0.12109,0.10191
5147.0,0.0951,0.09,0.11382,0.20938,0.14815,0.12056,0.12094,0.10204
5153.0,0.09521,0.09016,0.11313,0.20834,0.14932,0.12076,0.121,0.10208
5254.0,0.1008,0.09893,0.10773,0.14007,0.21575,0.1153,0.11769,0.10372
5255.0,0.10059,0.10129,0.10839,0.15228,0.19494,0.11748,0.11991,0.10512
5256.0,0.10076,0.09889,0.10789,0.13968,0.21699,0.11439,0.11786,0.10354
5257.0,0.10081,0.09873,0.10794,0.13959,0.21734,0.11434,0.11767,0.10358
5258.0,0.10071,0.09916,0.10788,0.14004,0.21627,0.1145,0.11779,0.10365
5259.0,0.10057,0.10116,0.10824,0.15218,0.19506,0.11763,0.11995,0.10521
5260.0,0.10113,0.0985,0.10801,0.13917,0.21755,0.11424,0.11765,0.10376
5261.0,0.10084,0.09896,0.10824,0.14043,0.21482,0.11502,0.11766,0.10404
5262.0,0.10079,0.09888,0.10776,0.13993,0.21656,0.11475,0.11775,0.10358
5263.0,0.101,0.09856,0.10813,0.13966,0.21737,0.11424,0.11755,0.1035
5264.0,0.10063,0.09893,0.1083,0.1401,0.21561,0.11488,0.1177,0.10384
5265.0,0.10107,0.09814,0.10835,0.14002,0.21669,0.11432,0.11766,0.10375
5266.0,0.10073,0.09899,0.10777,0.13978,0.21697,0.11445,0.11761,0.1037
5267.0,0.10066,0.09896,0.10815,0.13962,0.21679,0.11444,0.1178,0.10358
5268.0,0.10337,0.11379,0.11168,0.11271,0.21956,0.11705,0.11441,0.10743
5270.0,0.13052,0.10728,0.13499,0.11864,0.14837,0.1137,0.12356,0.12293
5277.0,0.09756,0.09926,0.10764,0.20115,0.14219,0.12411,0.12259,0.10549
5286.0,0.09846,0.09711,0.10981,0.19873,0.14615,0.12221,0.12267,0.10487
5449.0,0.11752,0.08457,0.11373,0.12907,0.2303,0.10999,0.10743,0.1074
5450.0,0.10553,0.08975,0.12053,0.15828,0.16429,0.14094,0.11281,0.10786
5451.0,0.11852,0.12294,0.12714,0.13316,0.12588,0.14448,0.10833,0.11956
5455.0,0.12172,0.11476,0.13818,0.13076,0.13318,0.13537,0.10914,0.1169
5617.0,0.08798,0.10292,0.11403,0.19444,0.15664,0.12275,0.11969,0.10154
