fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.09944,0.12509,0.11374,0.15139,0.15445,0.12288,0.12136,0.11166
2769.0,0.08958,0.12281,0.09895,0.21886,0.12093,0.11842,0.11743,0.11302
2770.0,0.08948,0.12069,0.09987,0.22049,0.12014,0.11871,0.11778,0.11284
2772.0,0.08939,0.12095,0.09966,0.21982,0.12168,0.11801,0.11716,0.11332
2801.0,0.09155,0.14233,0.09171,0.14764,0.14074,0.15261,0.11672,0.11671
2805.0,0.09143,0.14033,0.09271,0.14876,0.14088,0.1521,0.1169,0.1169
2899.0,0.09804,0.13303,0.10298,0.15758,0.15034,0.12996,0.11501,0.11304
2907.0,0.09606,0.12081,0.1005,0.15867,0.14034,0.16581,0.10817,0.10965
2909.0,0.09591,0.12242,0.09988,0.15423,0.14648,0.1634,0.10815,0.10953
2914.0,0.09761,0.13409,0.1026,0.15766,0.14985,0.13035,0.11499,0.11286
2916.0,0.09868,0.12023,0.09947,0.15299,0.14582,0.16515,0.10819,0.10947
2918.0,0.09787,0.13324,0.1031,0.15705,0.15115,0.12973,0.11475,0.11311
2939.0,0.09646,0.12017,0.1005,0.15674,0.1415,0.16681,0.10844,0.10938
2940.0,0.09767,0.12099,0.09919,0.15813,0.13988,0.16669,0.10778,0.10966
2942.0,0.09743,0.12193,0.09891,0.15597,0.14223,0.16601,0.1079,0.10962
2951.0,0.09749,0.13235,0.10409,0.15586,0.15404,0.12809,0.1147,0.11338
2952.0,0.09799,0.13268,0.10319,0.15754,0.15131,0.12945,0.11474,0.1131
3087.0,0.0955,0.11826,0.10468,0.1568,0.14394,0.16355,0.10612,0.11114
3088.0,0.09491,0.11833,0.10465,0.15731,0.14342,0.16396,0.10616,0.11127
3089.0,0.09534,0.11831,0.10415,0.15625,0.14442,0.16403,0.1063,0.11119
3449.0,0.10615,0.11761,0.11887,0.12803,0.16737,0.12737,0.12308,0.11152
3452.0,0.09651,0.1502,0.08917,0.11836,0.14103,0.17483,0.11796,0.11194
3459.0,0.08836,0.14136,0.09186,0.11149,0.16768,0.16649,0.12289,0.10986
3463.0,0.10484,0.1177,0.11984,0.12896,0.16618,0.12733,0.12322,0.11192
3475.0,0.09608,0.14956,0.0891,0.12489,0.1355,0.1752,0.11844,0.11124
3480.0,0.1059,0.11668,0.12062,0.12867,0.16535,0.12754,0.12349,0.11175
3481.0,0.10506,0.11696,0.12035,0.12799,0.16749,0.12733,0.12294,0.11189
3499.0,0.09571,0.15028,0.08938,0.11888,0.14003,0.17554,0.11807,0.1121
3566.0,0.09202,0.13159,0.08764,0.1355,0.21963,0.11317,0.11114,0.10931
3569.0,0.09021,0.13356,0.09708,0.14948,0.1725,0.12592,0.11944,0.11182
3595.0,0.09781,0.13461,0.09034,0.11968,0.15777,0.17295,0.11513,0.11171
3597.0,0.09445,0.13148,0.11035,0.1668,0.13854,0.12577,0.11946,0.11316
3613.0,0.09146,0.13157,0.08777,0.13515,0.22014,0.11315,0.11136,0.1094
3621.0,0.11695,0.11777,0.11764,0.13306,0.15886,0.1201,0.1197,0.11592
3693.0,0.09491,0.14489,0.09845,0.1371,0.17463,0.12744,0.11369,0.10888
3704.0,0.09428,0.1443,0.09919,0.13863,0.17456,0.12704,0.11306,0.10895
3720.0,0.09686,0.1097,0.11133,0.1349,0.17573,0.14543,0.11109,0.11497
3799.0,0.12723,0.07476,0.17475,0.11989,0.17405,0.12104,0.0977,0.11057
3800.0,0.12839,0.07517,0.1722,0.1176,0.17555,0.12243,0.09798,0.11068
3801.0,0.12751,0.07624,0.17142,0.11621,0.17942,0.12057,0.09795,0.11068
3802.0,0.12822,0.07618,0.17303,0.11705,0.17496,0.12129,0.09787,0.11141
3803.0,0.12554,0.07446,0.17753,0.11639,0.1787,0.11993,0.09788,0.10957
3805.0,0.12623,0.07905,0.17268,0.11814,0.17276,0.11934,0.10097,0.11082
3806.0,0.12634,0.07978,0.16999,0.11818,0.17356,0.11992,0.1005,0.11173
3807.0,0.12671,0.07961,0.1685,0.11567,0.17564,0.12151,0.10115,0.11121
3808.0,0.12599,0.07977,0.16993,0.11828,0.17282,0.12056,0.10103,0.11163
3809.0,0.12721,0.08067,0.16839,0.11745,0.17539,0.11884,0.10068,0.11139
3810.0,0.13059,0.08246,0.1638,0.11483,0.17187,0.11956,0.10443,0.11246
3811.0,0.12723,0.08463,0.1628,0.11536,0.17613,0.11734,0.10426,0.11224
3812.0,0.12676,0.08349,0.16564,0.11861,0.1694,0.11972,0.10459,0.11178
3813.0,0.12885,0.08318,0.16471,0.11474,0.1735,0.11837,0.10451,0.11215
3815.0,0.12972,0.08284,0.16339,0.11642,0.17214,0.11908,0.10407,0.11234
3816.0,0.1296,0.09158,0.15429,0.1128,0.16739,0.11809,0.11285,0.1134
3817.0,0.12882,0.09304,0.153,0.11257,0.16947,0.11707,0.11238,0.11365
3818.0,0.12854,0.09381,0.15333,0.11554,0.16427,0.11823,0.1122,0.11408
