fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
3257.0,0.08591,0.1043,0.09182,0.34615,0.08051,0.10112,0.10405,0.08613
3258.0,0.10228,0.10892,0.08366,0.33268,0.06323,0.10366,0.12192,0.08365
3259.0,0.10568,0.0984,0.09555,0.33849,0.07825,0.09528,0.09503,0.09332
3260.0,0.10422,0.10105,0.09513,0.34039,0.07736,0.09409,0.09496,0.09281
3261.0,0.09661,0.10915,0.08576,0.34079,0.06107,0.1038,0.12073,0.08209
3265.0,0.08115,0.10774,0.09606,0.33741,0.09415,0.09838,0.09482,0.09029
3325.0,0.10281,0.09627,0.11876,0.16969,0.17336,0.12154,0.11274,0.10484
3326.0,0.10335,0.09656,0.11793,0.16853,0.17381,0.12207,0.11287,0.10488
3327.0,0.10458,0.09172,0.1207,0.17007,0.17574,0.12048,0.11305,0.10366
3341.0,0.09979,0.11821,0.08032,0.3113,0.06619,0.08822,0.15293,0.08303
3342.0,0.09922,0.11956,0.08022,0.31126,0.06598,0.08797,0.15284,0.08295
3343.0,0.08685,0.11676,0.08433,0.31963,0.08315,0.09354,0.13032,0.08542
3348.0,0.10352,0.11448,0.0785,0.31015,0.06912,0.08686,0.15424,0.08312
3355.0,0.08691,0.11475,0.10653,0.22087,0.09174,0.13076,0.15733,0.09111
3356.0,0.0863,0.11515,0.10718,0.22116,0.09116,0.13092,0.15701,0.09112
3357.0,0.08655,0.11485,0.10725,0.22097,0.09178,0.13035,0.15707,0.09118
3931.0,0.08001,0.1235,0.08073,0.29902,0.06193,0.10828,0.16243,0.0841
3937.0,0.08024,0.12245,0.08205,0.29945,0.06274,0.10694,0.16206,0.08407
3941.0,0.0802,0.12213,0.08125,0.29996,0.06214,0.10785,0.16237,0.0841
3945.0,0.08027,0.12314,0.08172,0.29933,0.06013,0.10687,0.1639,0.08465
3956.0,0.10806,0.09931,0.0715,0.29208,0.08992,0.1102,0.13622,0.09271
4495.0,0.09335,0.11343,0.106,0.1697,0.15302,0.11661,0.15293,0.09495
4496.0,0.09366,0.11329,0.10579,0.16924,0.15469,0.11549,0.15281,0.09504
4497.0,0.09374,0.11346,0.10581,0.16908,0.15338,0.1166,0.15287,0.09507
4498.0,0.09329,0.11339,0.10608,0.16936,0.15324,0.11652,0.15298,0.09514
4499.0,0.09287,0.11433,0.10577,0.16982,0.15295,0.11629,0.1529,0.09507
4500.0,0.09315,0.11357,0.10663,0.1698,0.15244,0.11659,0.15275,0.09507
4501.0,0.10302,0.0932,0.09753,0.24778,0.13241,0.09639,0.12902,0.10064
4539.0,0.15152,0.14078,0.08214,0.19999,0.09068,0.11072,0.13657,0.08761
4540.0,0.15153,0.14064,0.08244,0.1995,0.08961,0.11173,0.13688,0.08767
4541.0,0.15352,0.14006,0.08189,0.19862,0.0915,0.10966,0.13729,0.08746
4542.0,0.15224,0.13846,0.08327,0.19965,0.08999,0.11143,0.13702,0.08794
4543.0,0.15262,0.1411,0.08142,0.19936,0.09066,0.11018,0.13716,0.08749
4713.0,0.12812,0.11216,0.12724,0.11686,0.12207,0.13138,0.13413,0.12805
5039.0,0.1323,0.13984,0.14141,0.11698,0.10257,0.1119,0.1566,0.09842
5041.0,0.13472,0.13138,0.14506,0.12259,0.10346,0.10639,0.15818,0.09824
5042.0,0.13346,0.12792,0.14688,0.11964,0.10741,0.1097,0.15651,0.09848
5050.0,0.12959,0.10809,0.13142,0.16613,0.09577,0.11427,0.15857,0.09616
