fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2724.0,0.09058,0.1258,0.1061,0.16394,0.16235,0.12274,0.12003,0.10846
2729.0,0.09621,0.1017,0.10256,0.25036,0.10486,0.12075,0.12372,0.09983
2731.0,0.09365,0.13575,0.09302,0.12813,0.16412,0.15395,0.11974,0.11164
2733.0,0.09483,0.12752,0.09843,0.15909,0.14216,0.14657,0.11963,0.11177
2755.0,0.10292,0.12677,0.09699,0.16605,0.14278,0.13081,0.13075,0.10294
2761.0,0.09203,0.11254,0.10763,0.20944,0.12231,0.12474,0.12055,0.11076
2762.0,0.09183,0.11248,0.10798,0.20905,0.12246,0.12504,0.12066,0.1105
2771.0,0.09178,0.11309,0.10782,0.20671,0.12404,0.12493,0.12084,0.11079
2777.0,0.0935,0.09123,0.12108,0.21511,0.10997,0.13632,0.14181,0.09098
2807.0,0.09508,0.09143,0.1191,0.21316,0.11077,0.13698,0.14226,0.09122
2815.0,0.09057,0.10453,0.10605,0.21368,0.13312,0.11695,0.13647,0.09863
2816.0,0.09081,0.10686,0.10436,0.2073,0.13461,0.1199,0.13709,0.09907
2818.0,0.0881,0.09992,0.10451,0.24021,0.11423,0.12068,0.1342,0.09814
2828.0,0.08415,0.10729,0.09009,0.22302,0.1476,0.11309,0.13419,0.10058
2900.0,0.08833,0.12729,0.11601,0.14413,0.13701,0.15528,0.12079,0.11117
2901.0,0.08957,0.12378,0.11596,0.14678,0.13451,0.16052,0.1209,0.10799
2902.0,0.09451,0.12566,0.11496,0.13645,0.1398,0.16071,0.11973,0.10818
2906.0,0.10436,0.09808,0.10549,0.17951,0.16085,0.11402,0.13462,0.10306
2908.0,0.10108,0.10081,0.10683,0.21377,0.12413,0.1167,0.13341,0.10327
2915.0,0.10735,0.10547,0.10083,0.19309,0.11975,0.12873,0.13652,0.10827
2926.0,0.09832,0.12452,0.11016,0.13996,0.14151,0.15662,0.12233,0.10658
2927.0,0.09109,0.12395,0.11511,0.14469,0.14175,0.154,0.12303,0.10639
2928.0,0.09438,0.12679,0.1078,0.13814,0.12902,0.17002,0.1213,0.11256
2943.0,0.10864,0.10469,0.09592,0.18435,0.14676,0.11379,0.13585,0.11
2944.0,0.10261,0.11462,0.09731,0.18126,0.15246,0.10805,0.13778,0.10591
