fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2724.0,0.10017,0.08912,0.12509,0.20693,0.1319,0.12432,0.11472,0.10776
2729.0,0.09581,0.07512,0.10472,0.33265,0.08541,0.09616,0.11299,0.09714
2731.0,0.0992,0.10001,0.10885,0.15028,0.17117,0.15174,0.11547,0.10329
2733.0,0.097,0.0929,0.11109,0.19594,0.15654,0.12377,0.11985,0.10291
2755.0,0.1,0.10261,0.12216,0.21891,0.11453,0.11191,0.12703,0.10284
2761.0,0.09356,0.08723,0.10501,0.26516,0.12364,0.10209,0.12278,0.10054
2762.0,0.09374,0.08692,0.10522,0.2632,0.12506,0.10222,0.123,0.10064
2771.0,0.09373,0.08771,0.10441,0.26565,0.12323,0.10228,0.12259,0.10039
2900.0,0.0982,0.10414,0.10754,0.11678,0.23789,0.11836,0.11722,0.09987
2901.0,0.09859,0.10375,0.10798,0.11845,0.23415,0.11922,0.11752,0.10034
2902.0,0.0976,0.10545,0.10663,0.11731,0.23623,0.11894,0.11752,0.10033
2926.0,0.09844,0.1036,0.10729,0.11682,0.23601,0.11985,0.11739,0.10061
2927.0,0.09611,0.10732,0.10786,0.1406,0.19814,0.12443,0.12227,0.10328
2928.0,0.10216,0.09978,0.11134,0.12027,0.22912,0.12008,0.11726,0.1
2960.0,0.09875,0.07989,0.11825,0.27869,0.10022,0.10151,0.12017,0.10253
2961.0,0.1074,0.07877,0.11471,0.26918,0.10387,0.10343,0.1201,0.10254
2962.0,0.10891,0.08595,0.10879,0.2482,0.1135,0.10238,0.12606,0.10622
2963.0,0.11179,0.0801,0.11518,0.25124,0.11756,0.09914,0.12193,0.10306
2995.0,0.10476,0.10027,0.1139,0.11003,0.25716,0.09532,0.11532,0.10324
2996.0,0.09832,0.11742,0.09838,0.1106,0.25259,0.10061,0.11654,0.10554
2997.0,0.1028,0.11677,0.09845,0.10588,0.25128,0.10024,0.11588,0.10871
2998.0,0.10769,0.10785,0.10504,0.10672,0.24643,0.10103,0.11803,0.10721
3000.0,0.10619,0.10027,0.11095,0.10986,0.24897,0.10034,0.11864,0.10479
3067.0,0.10976,0.10474,0.12178,0.14997,0.15684,0.12448,0.11763,0.1148
3069.0,0.10791,0.10506,0.12393,0.15523,0.15202,0.12482,0.11783,0.1132
3070.0,0.10769,0.10559,0.12477,0.1486,0.16136,0.12058,0.11917,0.11224
3071.0,0.10674,0.11856,0.11384,0.15094,0.15292,0.12533,0.11805,0.11361
3072.0,0.107,0.11261,0.12248,0.14651,0.15928,0.12044,0.11855,0.11313
3450.0,0.12295,0.10392,0.12628,0.12194,0.17855,0.10691,0.12528,0.11417
3461.0,0.11605,0.11449,0.12744,0.13212,0.15346,0.11477,0.13027,0.1114
3478.0,0.11708,0.10758,0.13463,0.14379,0.16328,0.10262,0.12256,0.10846
3479.0,0.12238,0.10728,0.129,0.1331,0.14707,0.12428,0.1261,0.11079
3528.0,0.11094,0.0924,0.10677,0.12977,0.18549,0.14939,0.11711,0.10812
3566.0,0.11773,0.09645,0.10856,0.13728,0.17318,0.13899,0.1148,0.113
3596.0,0.10412,0.1455,0.12988,0.13457,0.15028,0.11698,0.10297,0.11569
3606.0,0.1021,0.10861,0.1059,0.14424,0.18216,0.12831,0.11977,0.1089
3607.0,0.10895,0.08013,0.10865,0.28704,0.08501,0.11202,0.12067,0.09753
3608.0,0.11533,0.08067,0.10863,0.2543,0.1012,0.10762,0.12466,0.10759
3613.0,0.11317,0.0998,0.11071,0.14575,0.1618,0.14353,0.11635,0.10889
3616.0,0.10521,0.09189,0.11483,0.16672,0.17242,0.12556,0.11612,0.10725
