fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.1249,0.12452,0.12516,0.125,0.12568,0.125,0.1248,0.12494
2769.0,0.12477,0.12475,0.12491,0.12571,0.12493,0.12512,0.12492,0.12489
2770.0,0.12446,0.12468,0.12526,0.12582,0.12525,0.1249,0.12466,0.12499
2772.0,0.12436,0.12484,0.12483,0.12686,0.12403,0.12505,0.12466,0.12536
2776.0,0.12511,0.12427,0.12499,0.12561,0.1252,0.125,0.12493,0.12487
2801.0,0.12488,0.12448,0.12518,0.1252,0.12558,0.12499,0.12486,0.12483
2889.0,0.12496,0.12463,0.12496,0.12519,0.1256,0.12486,0.12494,0.12485
2897.0,0.12495,0.12471,0.12496,0.12512,0.12573,0.12479,0.12492,0.12482
2899.0,0.12496,0.12441,0.12495,0.12588,0.125,0.12492,0.12505,0.12484
2909.0,0.12501,0.12494,0.125,0.12503,0.12515,0.12516,0.12446,0.12525
2914.0,0.12496,0.12442,0.12494,0.12588,0.125,0.12492,0.12505,0.12483
2916.0,0.12507,0.1247,0.12486,0.1249,0.12557,0.12524,0.12488,0.12479
2918.0,0.12496,0.12441,0.12495,0.12588,0.125,0.12492,0.12505,0.12483
2920.0,0.12511,0.12425,0.12491,0.12572,0.12525,0.1249,0.12502,0.12484
2939.0,0.12507,0.1247,0.12486,0.1249,0.12558,0.12524,0.12488,0.12479
2940.0,0.12507,0.1247,0.12486,0.1249,0.12558,0.12523,0.12487,0.12479
2942.0,0.12507,0.1247,0.12485,0.12489,0.12559,0.12523,0.12487,0.12479
2951.0,0.12496,0.12443,0.12493,0.12588,0.125,0.12492,0.12505,0.12483
2952.0,0.12496,0.12442,0.12495,0.12588,0.12499,0.12492,0.12505,0.12483
2954.0,0.1251,0.12426,0.12491,0.12572,0.12525,0.12489,0.12502,0.12483
2956.0,0.12511,0.12426,0.12491,0.12572,0.12525,0.1249,0.12502,0.12483
2958.0,0.12511,0.12424,0.12491,0.12572,0.12526,0.1249,0.12502,0.12483
3087.0,0.12492,0.12501,0.12474,0.12491,0.12588,0.12495,0.12488,0.12472
3088.0,0.12492,0.12501,0.12474,0.1249,0.12588,0.12496,0.12488,0.12472
3089.0,0.12492,0.12501,0.12474,0.12491,0.12587,0.12496,0.12488,0.12472
3300.0,0.12504,0.12416,0.12511,0.12554,0.12543,0.12488,0.12499,0.12484
3301.0,0.12505,0.12415,0.12511,0.12553,0.12544,0.12489,0.125,0.12484
3302.0,0.12505,0.12413,0.12511,0.12553,0.12543,0.12489,0.125,0.12485
3337.0,0.12522,0.12414,0.12506,0.12519,0.1255,0.12501,0.1251,0.12478
3338.0,0.12522,0.12414,0.12506,0.1252,0.12549,0.12501,0.1251,0.12478
3339.0,0.12522,0.12414,0.12506,0.1252,0.1255,0.12501,0.1251,0.12478
3340.0,0.12513,0.124,0.12535,0.12515,0.12581,0.12479,0.12496,0.1248
3349.0,0.12477,0.12476,0.12496,0.12507,0.12617,0.12479,0.12477,0.1247
3350.0,0.12476,0.12478,0.12496,0.12508,0.12616,0.12478,0.12477,0.12471
3351.0,0.12477,0.12476,0.12497,0.12508,0.12618,0.12477,0.12477,0.1247
3375.0,0.1251,0.12465,0.12474,0.12537,0.12575,0.12464,0.12499,0.12475
3376.0,0.1251,0.12465,0.12474,0.12537,0.12575,0.12464,0.12499,0.12475
3377.0,0.1251,0.12466,0.12473,0.12537,0.12575,0.12464,0.12499,0.12475
3449.0,0.12502,0.12497,0.12501,0.12503,0.12507,0.1251,0.12469,0.12511
3452.0,0.12507,0.12441,0.12496,0.12506,0.12595,0.12486,0.12484,0.12485
3459.0,0.12502,0.12492,0.12502,0.12505,0.12519,0.12522,0.12428,0.12529
3463.0,0.1249,0.12504,0.12459,0.12448,0.12566,0.12524,0.12491,0.12519
3475.0,0.12438,0.12397,0.12592,0.12649,0.12558,0.12435,0.1243,0.12501
3480.0,0.12488,0.1245,0.1252,0.12531,0.12556,0.12488,0.12483,0.12484
3481.0,0.12488,0.1245,0.12519,0.1253,0.12555,0.12489,0.12484,0.12484
3499.0,0.12507,0.1244,0.12497,0.12506,0.12594,0.12486,0.12484,0.12485
3565.0,0.12462,0.12448,0.12556,0.12534,0.1255,0.12501,0.12464,0.12485
3566.0,0.12533,0.12458,0.12486,0.12497,0.12539,0.12511,0.125,0.12475
3569.0,0.12504,0.12445,0.125,0.12508,0.12578,0.12498,0.12485,0.12482
3595.0,0.12471,0.12466,0.12516,0.12494,0.12566,0.1251,0.12489,0.12487
3597.0,0.12504,0.12455,0.12488,0.12486,0.12568,0.12508,0.12496,0.12495
3621.0,0.12505,0.12463,0.12502,0.12524,0.12522,0.12492,0.12504,0.12488
3720.0,0.12453,0.12515,0.12501,0.12518,0.12566,0.12496,0.12471,0.1248
3923.0,0.12529,0.12434,0.12491,0.12519,0.12521,0.12505,0.12511,0.12491
3930.0,0.12529,0.12433,0.12491,0.12519,0.12521,0.12505,0.12511,0.12491
3936.0,0.12529,0.12432,0.12491,0.12519,0.1252,0.12506,0.12511,0.12491
3964.0,0.12485,0.12512,0.12478,0.12524,0.12519,0.12504,0.12495,0.12483
3971.0,0.12476,0.12473,0.12496,0.1255,0.12535,0.12494,0.12495,0.12481
3972.0,0.12469,0.12481,0.12502,0.12543,0.12553,0.12479,0.12489,0.12483
3973.0,0.12476,0.12473,0.12496,0.1255,0.12534,0.12494,0.12495,0.12481
3974.0,0.12488,0.12518,0.12481,0.12509,0.12516,0.12508,0.12495,0.12484
3975.0,0.12476,0.12473,0.12496,0.1255,0.12534,0.12495,0.12495,0.12481
3982.0,0.1249,0.12512,0.12483,0.12507,0.12522,0.12506,0.12496,0.12484
3992.0,0.12485,0.12512,0.12479,0.12523,0.12518,0.12505,0.12494,0.12483
4074.0,0.12478,0.12479,0.125,0.12498,0.12581,0.12496,0.12483,0.12484
4075.0,0.12476,0.12482,0.12499,0.12497,0.12583,0.12496,0.12482,0.12485
4076.0,0.12478,0.1248,0.125,0.12498,0.12581,0.12496,0.12483,0.12484
4077.0,0.12477,0.1248,0.12501,0.12498,0.12581,0.12496,0.12483,0.12484
4128.0,0.12515,0.12423,0.12496,0.12509,0.12579,0.12505,0.12483,0.12489
4129.0,0.12515,0.12424,0.12496,0.12508,0.1258,0.12506,0.12483,0.12489
4130.0,0.12515,0.12423,0.12495,0.12509,0.12578,0.12507,0.12484,0.12489
4131.0,0.12514,0.12423,0.12496,0.1251,0.12578,0.12506,0.12484,0.12489
4132.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4301.0,0.12494,0.12419,0.12524,0.12606,0.12482,0.12504,0.1249,0.12482
4519.0,0.1252,0.12443,0.12492,0.12531,0.12526,0.125,0.12527,0.12461
4520.0,0.12498,0.124,0.12543,0.12505,0.12552,0.12515,0.12493,0.12493
4521.0,0.12483,0.12413,0.12546,0.12542,0.12559,0.12487,0.12487,0.12484
4522.0,0.12483,0.12412,0.12546,0.12542,0.12561,0.12486,0.12487,0.12485
4523.0,0.12483,0.12411,0.12547,0.12541,0.12563,0.12484,0.12487,0.12484
4524.0,0.12483,0.12413,0.12545,0.12541,0.12563,0.12484,0.12487,0.12484
4525.0,0.12443,0.12509,0.12512,0.12517,0.12536,0.12491,0.12472,0.12519
4526.0,0.12465,0.12489,0.12523,0.12485,0.12591,0.12475,0.12485,0.12487
4528.0,0.12529,0.12395,0.12499,0.12432,0.12677,0.1247,0.12497,0.12502
4529.0,0.12527,0.12396,0.125,0.12434,0.12673,0.12472,0.12496,0.12502
4530.0,0.12527,0.12397,0.125,0.12435,0.12672,0.12473,0.12496,0.12502
4531.0,0.12529,0.12395,0.125,0.12432,0.12676,0.1247,0.12496,0.12502
4544.0,0.12486,0.12527,0.12471,0.12471,0.12565,0.12533,0.12478,0.1247
4545.0,0.12486,0.12527,0.1247,0.1247,0.12565,0.12533,0.12479,0.1247
4546.0,0.12487,0.12526,0.1247,0.1247,0.12565,0.12533,0.12479,0.12469
4547.0,0.12487,0.12526,0.1247,0.12471,0.12566,0.12533,0.12479,0.12469
4548.0,0.12487,0.12527,0.1247,0.12471,0.12565,0.12533,0.12479,0.12469
4549.0,0.12487,0.12526,0.1247,0.12471,0.12565,0.12533,0.12479,0.12469
4550.0,0.12395,0.12555,0.12603,0.1266,0.12409,0.12518,0.12396,0.12464
4564.0,0.12476,0.12525,0.12469,0.12478,0.12562,0.12536,0.12473,0.12481
4565.0,0.12476,0.12526,0.12468,0.12477,0.12563,0.12536,0.12473,0.12481
4566.0,0.12476,0.12525,0.12469,0.12477,0.12563,0.12535,0.12473,0.12481
4567.0,0.12477,0.12525,0.12469,0.12477,0.12563,0.12536,0.12473,0.12481
4568.0,0.12476,0.12526,0.12468,0.12477,0.12563,0.12535,0.12473,0.12481
4569.0,0.12476,0.12525,0.12468,0.12478,0.12564,0.12535,0.12473,0.12481
4570.0,0.12509,0.12491,0.12502,0.1242,0.1258,0.12549,0.12479,0.12468
4700.0,0.12533,0.12395,0.12524,0.12416,0.12655,0.12492,0.12487,0.12498
4732.0,0.12487,0.12456,0.12511,0.12492,0.12583,0.12504,0.12478,0.12488
4777.0,0.12486,0.12456,0.12511,0.12493,0.12583,0.12505,0.12478,0.12488
4781.0,0.12486,0.12456,0.12511,0.12493,0.12582,0.12505,0.12478,0.12488
4908.0,0.12483,0.1249,0.12487,0.12484,0.12608,0.12482,0.12476,0.12489
4909.0,0.12485,0.1249,0.12487,0.12482,0.12609,0.12483,0.12476,0.12489
4915.0,0.12494,0.12499,0.12493,0.12516,0.12532,0.12538,0.12424,0.12504
4917.0,0.1245,0.12443,0.12562,0.12539,0.12587,0.1248,0.12443,0.12497
4918.0,0.12447,0.12439,0.12568,0.12549,0.12589,0.1247,0.12441,0.12497
4919.0,0.12493,0.12488,0.12458,0.12405,0.1265,0.12522,0.12486,0.12498
4921.0,0.12462,0.12444,0.12525,0.12499,0.12627,0.12484,0.12459,0.125
4924.0,0.12482,0.12458,0.12488,0.12471,0.12649,0.12494,0.12474,0.12484
4925.0,0.12479,0.12434,0.12519,0.12473,0.1265,0.1249,0.12468,0.12487
4926.0,0.12485,0.12471,0.12514,0.12498,0.12551,0.12512,0.12475,0.12494
4927.0,0.12494,0.12464,0.12501,0.12493,0.12567,0.12507,0.12478,0.12495
4928.0,0.12484,0.12492,0.12485,0.12482,0.12611,0.1248,0.12476,0.12489
4976.0,0.12502,0.12436,0.12502,0.12542,0.12535,0.12503,0.12495,0.12486
4977.0,0.12502,0.12436,0.12502,0.12543,0.12534,0.12503,0.12495,0.12486
4978.0,0.12502,0.12436,0.12502,0.12542,0.12534,0.12503,0.12495,0.12486
4999.0,0.12497,0.12499,0.12496,0.12511,0.12521,0.12527,0.12445,0.12504
5002.0,0.12497,0.12404,0.12524,0.12513,0.12611,0.12493,0.12475,0.12482
5043.0,0.12533,0.12454,0.12459,0.12522,0.12498,0.12553,0.12483,0.12499
5044.0,0.12534,0.12457,0.12456,0.12516,0.125,0.12555,0.12484,0.12499
5060.0,0.12517,0.12421,0.125,0.12544,0.12534,0.12496,0.12504,0.12484
5063.0,0.12517,0.12422,0.12499,0.12544,0.12535,0.12496,0.12504,0.12484
5073.0,0.12517,0.12421,0.125,0.12544,0.12534,0.12496,0.12504,0.12484
5086.0,0.1251,0.12468,0.1249,0.12527,0.12513,0.12503,0.12517,0.12472
5095.0,0.1251,0.12468,0.1249,0.12527,0.12513,0.12503,0.12517,0.12472
5098.0,0.12488,0.12458,0.12521,0.12518,0.12547,0.12494,0.12488,0.12486
5100.0,0.12495,0.12439,0.12528,0.12527,0.12546,0.12484,0.12498,0.12482
5103.0,0.12511,0.12466,0.1249,0.12526,0.12516,0.12501,0.12518,0.12472
5254.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5255.0,0.1249,0.12471,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5256.0,0.1249,0.1247,0.12507,0.12495,0.12556,0.12509,0.12482,0.12491
5257.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5258.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5259.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5260.0,0.1249,0.12471,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5261.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5262.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5263.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5264.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5265.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5266.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5267.0,0.1249,0.1247,0.12507,0.12494,0.12557,0.12508,0.12482,0.12491
5268.0,0.12489,0.12451,0.12515,0.12549,0.1251,0.12503,0.12496,0.12486
5270.0,0.12502,0.12461,0.12492,0.12567,0.12502,0.12504,0.12494,0.12477
5277.0,0.12507,0.12451,0.12486,0.12529,0.12519,0.12524,0.12497,0.12487
5307.0,0.12506,0.12447,0.12493,0.12523,0.12561,0.1249,0.12496,0.12486
5361.0,0.12494,0.12457,0.12507,0.12499,0.12566,0.12506,0.12475,0.12498
5427.0,0.12503,0.1249,0.12487,0.12508,0.12512,0.12509,0.12498,0.12494
5428.0,0.12503,0.12489,0.12486,0.12509,0.12509,0.12511,0.12498,0.12495
5429.0,0.12503,0.1249,0.12486,0.12508,0.12511,0.12509,0.12499,0.12494
5617.0,0.12477,0.12489,0.12493,0.12528,0.12519,0.12518,0.12488,0.12488
5655.0,0.1252,0.12451,0.12485,0.1253,0.1253,0.12485,0.12514,0.12484
5657.0,0.12485,0.12393,0.12537,0.12468,0.12722,0.12415,0.12468,0.12513
5702.0,0.1248,0.12458,0.12504,0.12476,0.12618,0.12498,0.12479,0.12487
5726.0,0.12479,0.12479,0.12506,0.1251,0.12558,0.125,0.12486,0.12483
5736.0,0.12478,0.1248,0.12505,0.1251,0.12558,0.12499,0.12486,0.12483
5737.0,0.12478,0.12481,0.12505,0.1251,0.12558,0.12499,0.12486,0.12483
5791.0,0.12516,0.12467,0.12472,0.12517,0.12544,0.12507,0.12507,0.1247
5801.0,0.12488,0.12429,0.12525,0.12527,0.12581,0.12477,0.12484,0.12488
5802.0,0.12435,0.12493,0.12499,0.12526,0.12686,0.12396,0.12481,0.12484
5806.0,0.12493,0.1245,0.12495,0.12576,0.12526,0.12478,0.12498,0.12484
5820.0,0.12519,0.12408,0.12504,0.12566,0.12547,0.12473,0.12506,0.12479
