fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.12494,0.12479,0.12481,0.12524,0.1254,0.12504,0.12492,0.12485
2769.0,0.12469,0.12486,0.12482,0.12647,0.12441,0.12487,0.12505,0.12483
2770.0,0.12469,0.12487,0.12482,0.12647,0.12441,0.12487,0.12505,0.12483
2772.0,0.12469,0.12486,0.12482,0.12647,0.12441,0.12486,0.12505,0.12483
2776.0,0.12563,0.12382,0.12504,0.12474,0.12554,0.12552,0.12481,0.12489
2801.0,0.12475,0.12493,0.12492,0.12528,0.1254,0.1252,0.12482,0.1247
2805.0,0.12459,0.12495,0.12487,0.12524,0.12529,0.12539,0.12495,0.12473
2889.0,0.12533,0.1245,0.12461,0.12534,0.12477,0.12577,0.12489,0.12478
2897.0,0.12533,0.12449,0.1246,0.12529,0.12484,0.12573,0.12489,0.12482
2899.0,0.1248,0.12481,0.12507,0.12569,0.12493,0.12498,0.12488,0.12482
2907.0,0.12472,0.12465,0.12523,0.12526,0.12595,0.12458,0.12471,0.12489
2909.0,0.12471,0.12466,0.12524,0.12529,0.12592,0.12458,0.12471,0.12489
2914.0,0.1248,0.12481,0.12508,0.1257,0.12493,0.12499,0.12487,0.12482
2916.0,0.12471,0.12467,0.12524,0.1253,0.12591,0.12458,0.12471,0.12489
2918.0,0.1248,0.12482,0.12507,0.12568,0.12494,0.12498,0.12488,0.12482
2920.0,0.12507,0.12506,0.12461,0.12567,0.12436,0.12563,0.1249,0.12471
2939.0,0.12471,0.12467,0.12524,0.12529,0.12592,0.12458,0.12471,0.12488
2940.0,0.12471,0.12466,0.12525,0.12528,0.12593,0.12457,0.12471,0.12489
2942.0,0.1247,0.12467,0.12525,0.12529,0.12592,0.12457,0.12471,0.12488
2951.0,0.1248,0.12481,0.12508,0.1257,0.12492,0.12499,0.12488,0.12483
2952.0,0.1248,0.12481,0.12508,0.1257,0.12492,0.12499,0.12488,0.12482
2954.0,0.12508,0.12504,0.12461,0.12565,0.12438,0.12563,0.1249,0.12471
2956.0,0.12509,0.12502,0.12462,0.12565,0.1244,0.12562,0.1249,0.12471
2958.0,0.12509,0.12501,0.12461,0.12564,0.12441,0.12563,0.12489,0.12471
3087.0,0.12471,0.1247,0.12519,0.1253,0.12596,0.12457,0.12472,0.12485
3088.0,0.12471,0.12469,0.1252,0.1253,0.12595,0.12456,0.12472,0.12485
3089.0,0.12472,0.12469,0.1252,0.1253,0.12596,0.12456,0.12472,0.12485
3300.0,0.1249,0.12491,0.12491,0.12504,0.12512,0.12509,0.12479,0.12524
3301.0,0.12491,0.12491,0.12492,0.12504,0.1251,0.12508,0.12478,0.12527
3302.0,0.1249,0.12492,0.1249,0.12504,0.12513,0.12509,0.12481,0.1252
3337.0,0.125,0.1249,0.12484,0.12524,0.12515,0.12525,0.12496,0.12465
3338.0,0.12502,0.12487,0.12485,0.12523,0.12518,0.12523,0.12496,0.12465
