fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.11143,0.08203,0.13764,0.12111,0.20873,0.12087,0.10335,0.11484
2769.0,0.10071,0.09915,0.11278,0.21449,0.11429,0.13374,0.11417,0.11067
2770.0,0.07656,0.09117,0.14524,0.22674,0.14408,0.10929,0.08973,0.1172
2772.0,0.05785,0.08532,0.08475,0.42319,0.04454,0.10113,0.07379,0.12944
2776.0,0.13175,0.06715,0.11996,0.19545,0.14186,0.12091,0.114,0.1089
2801.0,0.11052,0.08014,0.13981,0.14181,0.19269,0.1206,0.10887,0.10555
2889.0,0.11813,0.0909,0.1183,0.14238,0.19738,0.10891,0.11578,0.10822
2897.0,0.11584,0.09626,0.11733,0.13356,0.21675,0.10236,0.11347,0.10443
2899.0,0.11537,0.07375,0.11373,0.23945,0.11828,0.11182,0.12355,0.10406
2909.0,0.12372,0.11781,0.12307,0.12595,0.13931,0.13948,0.07988,0.15078
2914.0,0.11504,0.07489,0.11302,0.23965,0.11858,0.11121,0.12353,0.10407
2916.0,0.12873,0.09566,0.10877,0.11234,0.19298,0.14772,0.11046,0.10334
2918.0,0.11519,0.07392,0.11381,0.23979,0.1185,0.1114,0.12345,0.10394
2920.0,0.13019,0.06513,0.11117,0.21185,0.14612,0.10981,0.12122,0.1045
2939.0,0.12871,0.0956,0.10889,0.1124,0.19312,0.14765,0.11038,0.10326
2940.0,0.12884,0.09571,0.10883,0.11217,0.19444,0.14662,0.11028,0.10312
2942.0,0.12897,0.09603,0.10839,0.11184,0.19463,0.14666,0.11032,0.10316
2951.0,0.11492,0.07526,0.11278,0.23929,0.11863,0.11135,0.12362,0.10415
2952.0,0.11491,0.07441,0.11378,0.23979,0.11815,0.11139,0.12352,0.10405
2954.0,0.12966,0.06592,0.1106,0.21236,0.14611,0.10957,0.12135,0.10442
2956.0,0.12992,0.06561,0.11082,0.21218,0.14607,0.10967,0.12129,0.10445
2958.0,0.13015,0.06499,0.11128,0.21196,0.14637,0.10967,0.12124,0.10435
3087.0,0.11181,0.12041,0.09717,0.11098,0.24028,0.11519,0.10894,0.09521
3088.0,0.11205,0.12007,0.09704,0.11077,0.24051,0.11543,0.1089,0.09523
3089.0,0.11181,0.12056,0.09695,0.11109,0.24,0.11539,0.10889,0.09531
3300.0,0.12311,0.0608,0.13061,0.18389,0.16841,0.10887,0.11895,0.10536
3301.0,0.12383,0.06039,0.1306,0.18262,0.16919,0.10898,0.1191,0.10531
3302.0,0.12452,0.0596,0.13086,0.1821,0.16891,0.10935,0.11906,0.10561
3337.0,0.14369,0.06001,0.12613,0.14029,0.17842,0.12103,0.1298,0.10063
3338.0,0.14327,0.06033,0.12611,0.14073,0.17814,0.1209,0.12984,0.10067
3339.0,0.14359,0.06012,0.12607,0.14042,0.17849,0.12091,0.12979,0.10059
3340.0,0.12968,0.05224,0.15406,0.13099,0.22179,0.09857,0.11305,0.09963
3349.0,0.09573,0.0949,0.11138,0.12172,0.29279,0.09733,0.09548,0.09068
3350.0,0.09525,0.09625,0.11133,0.12291,0.29086,0.09658,0.09555,0.09127
3351.0,0.09519,0.09504,0.11171,0.12256,0.29392,0.09584,0.09521,0.09054
3375.0,0.12937,0.09028,0.09652,0.16063,0.21747,0.08958,0.11842,0.09773
3376.0,0.12932,0.09033,0.09652,0.1607,0.21725,0.08967,0.11842,0.0978
3377.0,0.12924,0.0905,0.09643,0.16076,0.2171,0.08973,0.11844,0.0978
3449.0,0.12607,0.12119,0.1258,0.12745,0.13201,0.13491,0.09723,0.13534
3452.0,0.12499,0.07226,0.11574,0.12569,0.24591,0.10769,0.10328,0.10444
3459.0,0.12432,0.11484,0.12358,0.12741,0.14182,0.14573,0.06856,0.15375
3463.0,0.11079,0.12417,0.08613,0.07886,0.20342,0.14546,0.11175,0.13943
3475.0,0.05981,0.04312,0.2043,0.32143,0.15707,0.05865,0.05603,0.0996
3480.0,0.10987,0.08094,0.14256,0.15465,0.18901,0.11026,0.10606,0.10666
3481.0,0.11047,0.08099,0.14164,0.15466,0.18776,0.11116,0.10665,0.10669
3499.0,0.12465,0.07285,0.11494,0.12371,0.2496,0.10567,0.10379,0.1048
3565.0,0.08618,0.07543,0.18943,0.1518,0.19288,0.11177,0.08808,0.10443
3566.0,0.15997,0.08777,0.10939,0.11979,0.16651,0.13357,0.12255,0.10045
3569.0,0.12345,0.07738,0.11983,0.12795,0.22331,0.11785,0.10651,0.10371
3595.0,0.09647,0.09208,0.13796,0.11575,0.20581,0.13187,0.11095,0.10911
3597.0,0.1255,0.08488,0.11016,0.10814,0.20789,0.12943,0.1179,0.11611
3621.0,0.12859,0.09164,0.12574,0.14975,0.14759,0.11598,0.12798,0.11272
3720.0,0.08262,0.13601,0.12189,0.13976,0.20475,0.11714,0.0953,0.10252
3923.0,0.1543,0.07171,0.11325,0.14216,0.14465,0.12712,0.13338,0.11344
3930.0,0.15408,0.07233,0.11263,0.14254,0.1443,0.12726,0.13345,0.11339
3936.0,0.1543,0.07162,0.11315,0.14279,0.14299,0.12817,0.13349,0.11348
3964.0,0.11297,0.12771,0.10527,0.14553,0.1497,0.13028,0.11971,0.10883
3971.0,0.10032,0.09873,0.11967,0.18129,0.16338,0.11496,0.11712,0.10453
3972.0,0.09519,0.09732,0.13004,0.16979,0.18997,0.10038,0.11172,0.10558
3973.0,0.10103,0.09868,0.11834,0.18192,0.16093,0.11693,0.11711,0.10506
3974.0,0.1162,0.13512,0.10755,0.13017,0.1457,0.13513,0.12037,0.10977
3975.0,0.101,0.09861,0.11849,0.18213,0.1604,0.11746,0.11718,0.10473
3982.0,0.11631,0.1368,0.10591,0.1304,0.14559,0.13471,0.12094,0.10934
3992.0,0.1098,0.13695,0.10475,0.1496,0.1427,0.12957,0.11806,0.10856
4074.0,0.10073,0.10207,0.12073,0.11833,0.23047,0.11623,0.10518,0.10626
4075.0,0.09929,0.1042,0.11953,0.11723,0.23273,0.11616,0.10402,0.10683
4076.0,0.10064,0.10264,0.12051,0.11815,0.22973,0.11673,0.10528,0.10631
4077.0,0.10028,0.10252,0.12102,0.11848,0.22984,0.11643,0.10521,0.10623
4128.0,0.13364,0.06388,0.11516,0.12758,0.22308,0.124,0.10376,0.10889
4129.0,0.13386,0.06432,0.11455,0.12671,0.22438,0.124,0.10395,0.10823
4130.0,0.13407,0.06396,0.11427,0.12722,0.22129,0.12572,0.10443,0.10904
4131.0,0.13311,0.06401,0.11524,0.12816,0.22177,0.12484,0.10427,0.1086
4132.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4301.0,0.11001,0.05998,0.13909,0.26675,0.09935,0.11926,0.10587,0.09968
4519.0,0.14312,0.07648,0.11468,0.1559,0.14606,0.12463,0.15,0.08914
4520.0,0.12124,0.05186,0.17593,0.12867,0.1546,0.14185,0.11229,0.11355
4521.0,0.10261,0.05881,0.16958,0.1646,0.18817,0.10642,0.10608,0.10373
4522.0,0.10232,0.0581,0.16924,0.16401,0.19164,0.10482,0.10561,0.10427
4523.0,0.10234,0.05755,0.17062,0.16305,0.19439,0.1032,0.10546,0.1034
4524.0,0.10261,0.05832,0.16889,0.16316,0.19444,0.10313,0.10617,0.10327
4525.0,0.07755,0.13173,0.13429,0.14021,0.16248,0.11394,0.09788,0.14193
4526.0,0.08931,0.10826,0.14295,0.10512,0.245,0.09736,0.10513,0.10687
4528.0,0.12479,0.04261,0.09839,0.05721,0.40242,0.07802,0.09634,0.10021
4529.0,0.12422,0.04346,0.10024,0.05901,0.39454,0.08008,0.09672,0.10173
4530.0,0.12452,0.04386,0.10002,0.05935,0.39268,0.08055,0.09711,0.1019
4531.0,0.12448,0.04259,0.09944,0.05738,0.40122,0.07816,0.09611,0.10061
4544.0,0.10727,0.14878,0.09517,0.09508,0.20196,0.15633,0.10109,0.09431
4545.0,0.10925,0.1473,0.09291,0.09372,0.20519,0.1562,0.10128,0.09415
4546.0,0.10937,0.14711,0.093,0.0938,0.2048,0.15658,0.10145,0.09389
4547.0,0.10811,0.14777,0.09453,0.09494,0.20317,0.15607,0.10136,0.09403
4548.0,0.10787,0.14864,0.09445,0.09491,0.20221,0.15669,0.1013,0.09393
4549.0,0.10833,0.14749,0.09451,0.0948,0.20276,0.15679,0.10137,0.09395
4550.0,0.04028,0.14603,0.21368,0.33499,0.04528,0.10831,0.04088,0.07056
4564.0,0.10029,0.14374,0.09472,0.1006,0.2003,0.16004,0.09695,0.10335
4565.0,0.1081,0.14775,0.0922,0.09815,0.16602,0.18599,0.09253,0.10926
4566.0,0.10067,0.14323,0.09457,0.0998,0.2028,0.15887,0.09688,0.10319
4567.0,0.10956,0.14517,0.09265,0.09834,0.16123,0.19104,0.09221,0.10981
4568.0,0.10927,0.14627,0.09239,0.09847,0.16127,0.19045,0.09221,0.10967
4569.0,0.10075,0.14324,0.09416,0.09981,0.20381,0.15813,0.09698,0.10311
4570.0,0.12586,0.1091,0.11911,0.06152,0.22187,0.1731,0.0987,0.09073
4700.0,0.1338,0.0443,0.12473,0.05266,0.35315,0.09694,0.09299,0.10143
4732.0,0.10737,0.08396,0.13071,0.11261,0.23221,0.12396,0.10034,0.10885
