fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2413.0,0.0635,0.28471,0.10541,0.09711,0.12478,0.1083,0.06225,0.15393
2724.0,0.10661,0.10215,0.10767,0.1817,0.14922,0.13381,0.11775,0.10109
2729.0,0.08839,0.08741,0.09968,0.34891,0.08109,0.09412,0.11019,0.09021
2731.0,0.09883,0.1036,0.11928,0.13552,0.15259,0.18211,0.10721,0.10086
2733.0,0.09325,0.10425,0.12181,0.21331,0.12019,0.13924,0.10973,0.09823
2755.0,0.09802,0.1081,0.11226,0.217,0.12729,0.12914,0.10958,0.09861
2761.0,0.07338,0.12944,0.08401,0.33255,0.08983,0.09437,0.11404,0.08238
2762.0,0.07329,0.12787,0.08445,0.33401,0.08945,0.09447,0.11403,0.08242
2771.0,0.07399,0.12888,0.08425,0.3304,0.09094,0.09449,0.11426,0.08279
2777.0,0.07829,0.11333,0.08823,0.2896,0.0902,0.10162,0.14521,0.09353
2807.0,0.07565,0.0751,0.0763,0.444,0.0399,0.09231,0.11768,0.07907
2813.0,0.10331,0.04641,0.1158,0.33737,0.10043,0.09992,0.12871,0.06805
2815.0,0.09559,0.0781,0.10568,0.33293,0.08606,0.09675,0.12857,0.07633
2816.0,0.09675,0.07745,0.10566,0.32962,0.08735,0.09733,0.12914,0.0767
2818.0,0.0965,0.07697,0.10549,0.33193,0.08595,0.09777,0.12889,0.07651
2828.0,0.09803,0.07722,0.10699,0.32689,0.08967,0.09476,0.12881,0.07764
2842.0,0.10174,0.04321,0.11952,0.35463,0.09374,0.09746,0.12317,0.06653
2843.0,0.10124,0.04303,0.11919,0.3562,0.09382,0.09679,0.12304,0.06669
2844.0,0.10842,0.04209,0.11899,0.33738,0.09709,0.10469,0.12534,0.066
2900.0,0.0851,0.13366,0.1137,0.17213,0.10395,0.17752,0.10643,0.10751
2901.0,0.08467,0.13422,0.11371,0.17107,0.10581,0.17615,0.10674,0.10763
2902.0,0.08503,0.13808,0.10959,0.18271,0.09965,0.17225,0.10423,0.10846
2906.0,0.11713,0.10915,0.08113,0.21133,0.10685,0.14201,0.13563,0.09675
2908.0,0.11668,0.10548,0.08194,0.21349,0.10741,0.14238,0.1354,0.09723
2911.0,0.13032,0.09395,0.06014,0.22382,0.04032,0.24114,0.11612,0.09418
2912.0,0.13141,0.0942,0.06119,0.22443,0.04285,0.23511,0.11663,0.09418
2915.0,0.11697,0.10978,0.08054,0.21156,0.10778,0.14016,0.13576,0.09745
2926.0,0.10145,0.13204,0.11725,0.17007,0.12316,0.15181,0.09734,0.10688
2927.0,0.10191,0.13378,0.11693,0.1665,0.12689,0.15026,0.09689,0.10684
2928.0,0.10165,0.13236,0.11683,0.16857,0.12448,0.15168,0.09719,0.10724
2931.0,0.1286,0.09535,0.06117,0.22573,0.04157,0.23678,0.11628,0.09451
2936.0,0.15381,0.04554,0.09125,0.23822,0.07932,0.16508,0.11971,0.10707
2937.0,0.16946,0.05485,0.08017,0.1968,0.07148,0.18663,0.11111,0.12949
2938.0,0.1696,0.05466,0.08065,0.19566,0.07237,0.18357,0.11229,0.13119
2943.0,0.1167,0.108,0.0813,0.2107,0.10842,0.14137,0.1357,0.09781
2944.0,0.11727,0.11011,0.07989,0.21079,0.10665,0.14189,0.13575,0.09765
2945.0,0.11704,0.1055,0.0816,0.212,0.10758,0.14298,0.13574,0.09756
2949.0,0.13153,0.09365,0.0613,0.22096,0.0428,0.23713,0.11674,0.09589
2959.0,0.13143,0.09303,0.06148,0.22195,0.04303,0.23708,0.11663,0.09537
2960.0,0.10457,0.10609,0.1012,0.19343,0.14476,0.11166,0.13957,0.09872
2961.0,0.09002,0.11982,0.09653,0.17368,0.1591,0.11461,0.14663,0.09961
2962.0,0.09223,0.12018,0.09619,0.17095,0.16182,0.11649,0.14432,0.09782
2963.0,0.08905,0.12275,0.09568,0.17367,0.15939,0.11402,0.1462,0.09924
2989.0,0.08035,0.1154,0.13347,0.162,0.19615,0.09029,0.1257,0.09665
2995.0,0.07241,0.15142,0.08128,0.18838,0.10999,0.17409,0.13391,0.08852
2996.0,0.07152,0.15077,0.08143,0.19153,0.11084,0.17196,0.13312,0.08885
2997.0,0.07169,0.15103,0.08129,0.18953,0.11023,0.17375,0.13375,0.08873
2998.0,0.0715,0.15043,0.08131,0.1916,0.10954,0.17352,0.13337,0.08873
2999.0,0.08031,0.11456,0.13392,0.1635,0.19432,0.09068,0.12601,0.09671
3000.0,0.0714,0.15158,0.08178,0.19334,0.10695,0.1734,0.13322,0.08832
3005.0,0.07821,0.11076,0.13512,0.16213,0.18975,0.09651,0.13016,0.09736
3006.0,0.08029,0.11499,0.13332,0.16313,0.19511,0.09065,0.12579,0.09672
3024.0,0.12089,0.08873,0.1218,0.16952,0.18255,0.09905,0.12149,0.09598
3050.0,0.10508,0.11393,0.10325,0.14034,0.16331,0.13556,0.1278,0.11074
3051.0,0.10508,0.11243,0.10386,0.14368,0.15992,0.13611,0.12791,0.11102
3052.0,0.10506,0.11376,0.10325,0.14033,0.1635,0.13524,0.1278,0.11106
3053.0,0.10484,0.11426,0.10321,0.14297,0.16062,0.13535,0.12785,0.1109
3054.0,0.11101,0.10796,0.10395,0.15051,0.14853,0.13705,0.12905,0.11194
3067.0,0.10989,0.11338,0.10431,0.15911,0.15758,0.13068,0.12212,0.10292
3069.0,0.11003,0.11324,0.10436,0.158,0.1597,0.1302,0.122,0.10248
3070.0,0.11092,0.11324,0.10361,0.15943,0.15647,0.13128,0.12211,0.10294
3071.0,0.11001,0.11344,0.1041,0.1613,0.15503,0.13114,0.12216,0.10282
3072.0,0.10962,0.1133,0.10445,0.15898,0.15702,0.13118,0.12247,0.10297
3078.0,0.09316,0.09135,0.13675,0.14811,0.25092,0.08243,0.09371,0.10357
3081.0,0.09305,0.09145,0.13669,0.14776,0.25182,0.08234,0.09362,0.10326
3087.0,0.09289,0.09173,0.1363,0.14852,0.25083,0.08256,0.09367,0.1035
3088.0,0.09293,0.09148,0.13722,0.14897,0.24983,0.08249,0.09372,0.10338
3089.0,0.09309,0.0913,0.13663,0.14823,0.25123,0.0824,0.09361,0.1035
3313.0,0.11584,0.11601,0.11681,0.12703,0.13325,0.13256,0.10684,0.15165
3314.0,0.11431,0.11537,0.1149,0.12809,0.13616,0.13401,0.10612,0.15105
3315.0,0.1159,0.11677,0.11602,0.12895,0.13951,0.13352,0.10203,0.14729
3317.0,0.17569,0.07811,0.08233,0.12307,0.18797,0.1278,0.11852,0.10652
3318.0,0.17648,0.07788,0.08204,0.12219,0.18825,0.12804,0.11854,0.10659
3319.0,0.17602,0.0777,0.08283,0.12245,0.18904,0.12663,0.11908,0.10625
3324.0,0.17289,0.07982,0.08351,0.12465,0.186,0.12695,0.11934,0.10683
3361.0,0.04724,0.06557,0.03672,0.56164,0.00924,0.14767,0.06755,0.06437
3362.0,0.04742,0.06597,0.03732,0.56362,0.00973,0.14402,0.0674,0.06452
3363.0,0.04618,0.06472,0.03746,0.56177,0.0093,0.14912,0.06738,0.06407
3369.0,0.12996,0.10137,0.12054,0.12928,0.16273,0.14619,0.1098,0.10014
3370.0,0.12929,0.10246,0.11975,0.12921,0.1628,0.14614,0.10984,0.1005
3371.0,0.13007,0.10156,0.12033,0.12771,0.1656,0.14442,0.10984,0.10047
3372.0,0.12872,0.10244,0.12063,0.12864,0.1659,0.14359,0.10973,0.10035
3394.0,0.09985,0.04994,0.08558,0.354,0.02337,0.16627,0.13546,0.08553
3395.0,0.0969,0.05204,0.08592,0.35669,0.0241,0.16281,0.13314,0.0884
