fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2708.0,0.11499,0.08103,0.12601,0.18688,0.16189,0.109,0.10379,0.11641
2801.0,0.07581,0.148,0.0849,0.25135,0.08166,0.16397,0.08416,0.11014
2805.0,0.07628,0.14886,0.08361,0.249,0.08216,0.16521,0.08443,0.11044
2899.0,0.11049,0.08828,0.10048,0.1606,0.20382,0.118,0.10834,0.11
2914.0,0.11202,0.09296,0.097,0.1569,0.20978,0.11632,0.10766,0.10736
2918.0,0.11218,0.08758,0.10016,0.15657,0.20843,0.1172,0.10818,0.10969
2951.0,0.11717,0.09456,0.09743,0.16817,0.17882,0.12339,0.10642,0.11405
2952.0,0.11073,0.08895,0.09995,0.1568,0.20867,0.11655,0.10841,0.10993
3449.0,0.10748,0.0785,0.14108,0.1821,0.18045,0.08713,0.10885,0.1144
3463.0,0.10924,0.07695,0.14036,0.18073,0.18022,0.08799,0.10996,0.11456
3480.0,0.10767,0.07863,0.14149,0.18221,0.1793,0.08765,0.10877,0.11429
3481.0,0.10954,0.0764,0.13976,0.1787,0.1825,0.08808,0.11011,0.11491
3566.0,0.11127,0.09903,0.10674,0.13974,0.18057,0.141,0.10485,0.1168
3569.0,0.10037,0.10538,0.09706,0.18175,0.19669,0.09559,0.10483,0.11833
3595.0,0.08503,0.13144,0.10158,0.13757,0.16101,0.15552,0.11585,0.11201
3597.0,0.10572,0.10886,0.08473,0.20996,0.18052,0.09689,0.10823,0.10509
3613.0,0.11137,0.09979,0.10628,0.13975,0.18018,0.14119,0.10484,0.11661
3621.0,0.11744,0.09309,0.12552,0.15266,0.17294,0.10976,0.11071,0.11788
3693.0,0.09362,0.11603,0.12306,0.17338,0.16531,0.11004,0.10275,0.11581
3704.0,0.0891,0.12509,0.11636,0.16797,0.17846,0.10159,0.10422,0.11721
3720.0,0.09681,0.08704,0.12261,0.15039,0.20794,0.12285,0.10477,0.10759
3799.0,0.12063,0.07776,0.14787,0.14682,0.19852,0.09857,0.11659,0.09323
3800.0,0.12027,0.07936,0.14752,0.14808,0.19492,0.09996,0.11682,0.09307
3801.0,0.11992,0.0785,0.15034,0.15028,0.19315,0.09903,0.11599,0.09278
3802.0,0.12092,0.05439,0.15878,0.1413,0.23014,0.08872,0.11186,0.09387
3803.0,0.11962,0.07901,0.14742,0.14832,0.19787,0.09895,0.11646,0.09236
3805.0,0.12237,0.08151,0.14697,0.14601,0.18722,0.10191,0.11778,0.09623
3806.0,0.12034,0.08238,0.14722,0.14718,0.18675,0.10178,0.11834,0.09601
3807.0,0.11651,0.08773,0.14616,0.1557,0.17316,0.1059,0.11789,0.09696
3808.0,0.12067,0.06017,0.15783,0.14354,0.21584,0.09144,0.11297,0.09755
3809.0,0.12157,0.08334,0.14653,0.14616,0.18426,0.10317,0.11825,0.09672
3810.0,0.12141,0.08706,0.14585,0.14427,0.1779,0.10422,0.11933,0.09997
3811.0,0.1223,0.08651,0.14631,0.14517,0.17468,0.10598,0.11951,0.09954
3812.0,0.12134,0.08683,0.14752,0.14528,0.17673,0.10338,0.11888,0.10002
3813.0,0.12261,0.06597,0.15432,0.14104,0.20083,0.09755,0.11623,0.10145
3815.0,0.12255,0.08673,0.14536,0.14431,0.17654,0.10541,0.11943,0.09967
3816.0,0.12222,0.09719,0.13848,0.14034,0.16163,0.11172,0.12157,0.10685
3817.0,0.12212,0.0978,0.13714,0.13945,0.16238,0.11189,0.12188,0.10734
3818.0,0.12334,0.09625,0.13927,0.13794,0.16383,0.1104,0.12167,0.10731
3819.0,0.1246,0.08005,0.14576,0.1368,0.18067,0.10443,0.11948,0.10821
3820.0,0.12255,0.09811,0.13711,0.13999,0.16197,0.11201,0.12099,0.10729
3930.0,0.09471,0.09324,0.11156,0.19001,0.17893,0.11216,0.11173,0.10767
3936.0,0.09351,0.095,0.11004,0.18865,0.18335,0.10902,0.11214,0.10828
3971.0,0.09168,0.12791,0.09315,0.12178,0.2426,0.09421,0.1259,0.10276
3972.0,0.08903,0.12904,0.09079,0.11936,0.25083,0.09264,0.12593,0.10239
3975.0,0.09027,0.12908,0.0925,0.12099,0.24752,0.09208,0.12526,0.1023
4074.0,0.09965,0.09811,0.1027,0.11862,0.23637,0.11664,0.12644,0.10147
4075.0,0.09961,0.09799,0.1019,0.11782,0.23861,0.11598,0.12629,0.1018
4077.0,0.09984,0.09823,0.10182,0.11798,0.23758,0.11602,0.12649,0.10205
4128.0,0.09229,0.11268,0.10251,0.15029,0.19743,0.12537,0.11454,0.1049
4129.0,0.09159,0.11261,0.1058,0.1503,0.19862,0.12254,0.1146,0.10395
4130.0,0.09242,0.11504,0.10304,0.14982,0.19527,0.12527,0.1145,0.10463
4131.0,0.09113,0.11465,0.10397,0.15465,0.192,0.12472,0.1146,0.10428
4132.0,0.09264,0.11375,0.10375,0.15078,0.19371,0.12546,0.11494,0.10496
4133.0,0.09337,0.11161,0.10449,0.15281,0.19321,0.12536,0.11432,0.10482
4134.0,0.09208,0.11315,0.10371,0.1508,0.19603,0.12471,0.11489,0.10465
4301.0,0.09502,0.09383,0.09831,0.30842,0.11865,0.0818,0.10445,0.09952
4366.0,0.10662,0.08105,0.09207,0.14236,0.23116,0.13051,0.11051,0.10573
4367.0,0.10636,0.08137,0.09054,0.1324,0.23307,0.13847,0.11224,0.10555
