fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
2724.0,0.07863,0.14046,0.09932,0.20667,0.12493,0.12448,0.11507,0.11044
2729.0,0.07304,0.10553,0.10357,0.34611,0.07494,0.09592,0.10841,0.09247
2731.0,0.08369,0.14698,0.09565,0.13267,0.12144,0.17637,0.12374,0.11947
2733.0,0.09297,0.12873,0.10144,0.15883,0.12321,0.15663,0.12421,0.11397
2755.0,0.11696,0.10425,0.10378,0.19461,0.1213,0.11938,0.12188,0.11785
2761.0,0.09442,0.13205,0.09821,0.19402,0.11929,0.13668,0.12341,0.10191
2762.0,0.09481,0.13142,0.09887,0.19303,0.12035,0.13619,0.12345,0.10188
2771.0,0.09436,0.13246,0.09855,0.19319,0.11973,0.1363,0.12342,0.10199
2777.0,0.0889,0.11527,0.10942,0.32672,0.03746,0.12336,0.12389,0.07498
2807.0,0.08936,0.11685,0.10842,0.32426,0.03712,0.12437,0.12394,0.07568
2815.0,0.05699,0.1055,0.12815,0.29282,0.12261,0.07981,0.12624,0.08788
2816.0,0.05782,0.10188,0.12957,0.29595,0.12208,0.07907,0.12595,0.08769
2818.0,0.04595,0.20732,0.10159,0.21149,0.12213,0.08699,0.11444,0.11009
2828.0,0.05846,0.10505,0.12897,0.28593,0.12565,0.08067,0.12761,0.08768
2900.0,0.09095,0.12359,0.10724,0.1281,0.1243,0.18872,0.12701,0.11008
2901.0,0.09071,0.12486,0.10636,0.12671,0.12531,0.18917,0.12703,0.10985
2902.0,0.09085,0.12349,0.10716,0.12732,0.12565,0.18872,0.12719,0.10962
2906.0,0.10186,0.11015,0.10257,0.19144,0.14083,0.10704,0.12826,0.11785
2908.0,0.10213,0.1082,0.10303,0.19658,0.13685,0.1074,0.12786,0.11795
2915.0,0.09977,0.113,0.10223,0.19354,0.13811,0.1065,0.12742,0.11942
2926.0,0.09001,0.12557,0.10627,0.12825,0.12424,0.18885,0.12731,0.10952
2927.0,0.09025,0.12405,0.10737,0.12874,0.12496,0.18809,0.12712,0.10943
2928.0,0.09082,0.12367,0.10704,0.12869,0.12287,0.19,0.12733,0.10958
2943.0,0.10437,0.1082,0.10298,0.19119,0.13915,0.10731,0.12833,0.11848
2944.0,0.10203,0.10998,0.10255,0.19459,0.13597,0.10817,0.12776,0.11894
2945.0,0.10274,0.11045,0.1019,0.19317,0.13742,0.10776,0.12814,0.11843
2960.0,0.09542,0.12305,0.09934,0.24086,0.0946,0.10705,0.12327,0.11642
2961.0,0.09711,0.12128,0.09947,0.24197,0.09349,0.10718,0.12349,0.116
2962.0,0.0972,0.12138,0.09983,0.23977,0.09494,0.10721,0.12343,0.11624
2963.0,0.0965,0.12257,0.09971,0.2387,0.09538,0.10695,0.12357,0.11662
2989.0,0.05738,0.18699,0.11296,0.21674,0.10368,0.10113,0.10638,0.11474
2995.0,0.09408,0.12469,0.08882,0.17373,0.09639,0.18531,0.12494,0.11203
2996.0,0.09367,0.12439,0.08869,0.17536,0.09476,0.1864,0.12441,0.11233
2997.0,0.09242,0.12367,0.08919,0.1788,0.09386,0.18494,0.12455,0.11258
2998.0,0.09325,0.12502,0.08875,0.17727,0.09428,0.18482,0.12518,0.11143
2999.0,0.05839,0.18424,0.11334,0.2164,0.10454,0.10143,0.10664,0.11502
3000.0,0.09396,0.1242,0.08879,0.17482,0.09605,0.18497,0.12458,0.11263
