fund number,Month,Return,F1,F2,F3,F4,F5,F6,F7,F8
3931.0,,1.9553,1.93,1.22,0.87,1.52,1.03,0.82,1.39,1.68
3931.0,,-3.0137,-3.36,-2.4,-1.82,-2.62,-2.0,-2.1,-1.88,-1.63
3931.0,,-1.4124,-1.84,-1.22,-0.8,-1.41,-1.02,-1.26,-0.54,-0.73
3931.0,,0.745,-0.55,0.26,-0.19,0.66,0.7,0.64,-0.19,-0.26
3931.0,,0.6257,-0.27,-0.11,-0.35,0.58,0.65,0.66,0.01,-0.19
3931.0,,1.4698,1.48,1.04,0.79,1.32,1.1,0.94,0.97,1.0
3931.0,,0.1671,0.45,0.6,0.6,0.31,0.3,0.24,0.29,-0.04
3931.0,,0.7786,1.0,0.61,0.55,0.32,0.28,0.27,0.17,0.33
3931.0,,0.9382,1.77,1.09,0.87,0.77,0.53,0.75,0.71,1.24
3931.0,,-0.6014,-1.14,-0.78,-0.45,-0.61,-0.04,0.3,-0.3,-0.58
3931.0,,0.44,-0.36,-0.29,-0.19,-0.11,0.22,-0.01,-0.53,0.25
3931.0,,-1.5334,-2.43,-1.71,-1.39,-1.5,-1.15,-0.84,-1.29,-0.71
3931.0,,-0.3337,-0.96,-0.72,-0.56,-0.27,-0.24,-0.39,-1.12,-0.92
3931.0,,1.0045,0.52,0.12,-0.15,0.61,0.44,0.48,0.68,0.98
3931.0,,0.1657,0.54,0.3,0.21,0.61,0.43,0.59,0.55,-0.07
3931.0,,0.4964,-0.08,-0.13,-0.34,0.05,0.12,0.18,0.09,0.76
3931.0,,-0.1647,-0.47,0.17,0.19,0.07,0.06,0.16,0.12,0.15
3931.0,,0.4948,-0.06,-0.08,-0.34,0.2,0.13,-0.31,0.42,-0.21
3931.0,,-1.2035,-2.01,-1.52,-1.14,-1.11,-0.77,-1.01,-0.42,-0.63
3931.0,,-0.0554,-1.04,-0.35,-0.27,-0.14,0.66,0.99,-0.17,-0.65
3931.0,,-0.3324,-1.89,-1.32,-0.96,-0.24,-0.48,-0.19,-0.62,0.43
3931.0,,0.2779,1.1,0.86,0.76,0.41,0.05,0.06,-0.18,0.65
3931.0,,1.6075,2.53,2.33,1.99,1.66,1.3,1.3,0.9,0.92
3931.0,,-0.1637,-0.75,-0.85,-0.58,-0.27,-0.15,-0.19,-0.17,0.04
